Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
CSEN 10-1 - Introduction to Programming,Computer Science and Engineering,10,1,Open,0/26,Hayang Kim,4,M W F | 11:45 AM - 12:50 PM,RM 2301 SCDI,"Pathways :: Design Thinking

Pathways :: The Digital Age",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CSEN 10L-1 - Introduction to Programming Laboratory,Computer Science and Engineering,10L,1,Open,0/13,Hayang Kim,1,T | 2:15 PM - 5:00 PM,Rm 106 Heafey Hall,Pathways :: The Digital Age,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CSEN 10L-2 - Introduction to Programming Laboratory,Computer Science and Engineering,10L,2,Open,0/13,Hayang Kim,1,T | 5:30 PM - 8:15 PM,Rm 106 Heafey Hall,Pathways :: The Digital Age,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CSEN 11-1 - Advanced Programming,Computer Science and Engineering,11,1,Open,0/26,,4,M W F | 8:00 AM - 9:05 AM,Rm 108 Alameda hall,Pathways :: The Digital Age,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CSEN 11-2 - Advanced Programming,Computer Science and Engineering,11,2,Open,0/26,Angela Musurlian,4,M W F | 9:15 AM - 10:20 AM,Rm 129 Heafey Hall,Pathways :: The Digital Age,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CSEN 11-3 - Advanced Programming,Computer Science and Engineering,11,3,Open,0/26,Angela Musurlian,4,M W F | 1:00 PM - 2:05 PM,Rm 129 Heafey Hall,Pathways :: The Digital Age,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CSEN 11L-1 - Advanced Programming Laboratory,Computer Science and Engineering,11L,1,Open,0/13,Angela Musurlian,1,M | 2:15 PM - 5:00 PM,Rm 203 Heafey Hall,Pathways :: The Digital Age,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CSEN 11L-2 - Advanced Programming Laboratory,Computer Science and Engineering,11L,2,Open,0/13,,1,M | 2:15 PM - 5:00 PM,Rm 106 Heafey Hall,Pathways :: The Digital Age,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CSEN 11L-3 - Advanced Programming Laboratory,Computer Science and Engineering,11L,3,Open,0/13,,1,M | 5:30 PM - 8:15 PM,Rm 203 Heafey Hall,Pathways :: The Digital Age,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CSEN 11L-4 - Advanced Programming Laboratory,Computer Science and Engineering,11L,4,Open,0/13,Angela Musurlian,1,T | 9:15 AM - 12:00 PM,Rm 203 Heafey Hall,Pathways :: The Digital Age,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CSEN 11L-5 - Advanced Programming Laboratory,Computer Science and Engineering,11L,5,Open,0/13,Angela Musurlian,1,T | 2:15 PM - 5:00 PM,Rm 203 Heafey Hall,Pathways :: The Digital Age,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CSEN 11L-6 - Advanced Programming Laboratory,Computer Science and Engineering,11L,6,Open,0/13,Angela Musurlian,1,T | 5:30 PM - 8:15 PM,Rm 203 Heafey Hall,Pathways :: The Digital Age,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CSEN 12-1 - Abstract Data Types and Data Structures,Computer Science and Engineering,12,1,Open,0/26,Oana Ignat,4,M W F | 10:30 AM - 11:35 AM,Rm 361 Alumni Science Hall,Pathways :: The Digital Age,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CSEN 12-2 - Abstract Data Types and Data Structures,Computer Science and Engineering,12,2,Open,0/26,Yuhong Liu,4,M W F | 1:00 PM - 2:05 PM,Rm 104 Alameda hall,Pathways :: The Digital Age,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CSEN 12L-1 - Abstract Data Types and Data Structures Laboratory,Computer Science and Engineering,12L,1,Open,0/13,Yuhong Liu,1,Th | 9:15 AM - 12:00 PM,Rm 111 Heafey Hall,Pathways :: The Digital Age,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CSEN 12L-2 - Abstract Data Types and Data Structures Laboratory,Computer Science and Engineering,12L,2,Open,0/13,Oana Ignat,1,Th | 2:15 PM - 5:00 PM,Rm 111 Heafey Hall,Pathways :: The Digital Age,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CSEN 12L-3 - Abstract Data Types and Data Structures Laboratory,Computer Science and Engineering,12L,3,Open,0/13,Yuhong Liu,1,Th | 5:30 PM - 8:15 PM,Rm 111 Heafey Hall,Pathways :: The Digital Age,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CSEN 12L-4 - Abstract Data Types and Data Structures Laboratory,Computer Science and Engineering,12L,4,Open,0/13,Oana Ignat,1,F | 2:15 PM - 5:00 PM,Rm 111 Heafey Hall,Pathways :: The Digital Age,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CSEN 19-1 - Discrete Mathematics,Computer Science and Engineering,19,1,Open,0/37,Chi-Yun Hsu,4,M W F | 9:15 AM - 10:20 AM,RM 1301 SCDI,"Pathways :: Paradigm Shifts and the Nature of Human Knowing

Pathways :: The Digital Age",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,CSEN 19-/MATH 51-1
CSEN 19-2 - Discrete Mathematics,Computer Science and Engineering,19,2,Open,0/37,George Schaeffer,4,M W F | 2:15 PM - 3:20 PM,RM 1301 SCDI,"Pathways :: Paradigm Shifts and the Nature of Human Knowing

Pathways :: The Digital Age",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,CSEN 19-/MATH 51-2
CSEN 20-1 - Introduction to Embedded Systems (-),Computer Science and Engineering,20,1,Open,0/30,Yidi Wang,4,T Th | 8:30 AM - 10:10 AM,Rm 105 Alameda hall,Pathways :: Design Thinking,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CSEN 20-2 - Introduction to Embedded Systems (-),Computer Science and Engineering,20,2,Open,0/30,Yidi Wang,4,T Th | 10:20 AM - 12:00 PM,Rm 105 Alameda hall,Pathways :: Design Thinking,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CSEN 20L-1 - Embedded Systems Laboratory,Computer Science and Engineering,20L,1,Open,0/15,Yidi Wang,1,T | 2:15 PM - 5:00 PM,Rm 112 Heafey Hall,Pathways :: Design Thinking,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CSEN 20L-2 - Embedded Systems Laboratory,Computer Science and Engineering,20L,2,Open,0/15,Yidi Wang,1,T | 5:30 PM - 8:15 PM,Rm 112 Heafey Hall,Pathways :: Design Thinking,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CSEN 20L-3 - Embedded Systems Laboratory,Computer Science and Engineering,20L,3,Open,0/15,Yidi Wang,1,W | 2:15 PM - 5:00 PM,Rm 112 Heafey Hall,Pathways :: Design Thinking,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CSEN 20L-4 - Embedded Systems Laboratory,Computer Science and Engineering,20L,4,Open,0/15,Yidi Wang,1,W | 5:30 PM - 8:15 PM,Rm 112 Heafey Hall,Pathways :: Design Thinking,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CSEN 29-1 - Current Topics in Computer Science and Engineering (AI Literacy),Computer Science and Engineering,29,1,Open,0/20,Silvia Figueira,5,Th | 12:10 PM - 1:50 PM,Rm 215 Heafey Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CSEN 79-1 - Object-Oriented Programming and Advanced Data Structures,Computer Science and Engineering,79,1,Open,0/30,Farokh Eskafi,4,M W F | 11:45 AM - 12:50 PM,Rm 310 Alumni Science Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CSEN 79-2 - Object-Oriented Programming and Advanced Data Structures,Computer Science and Engineering,79,2,Open,0/30,Farokh Eskafi,4,M W F | 1:00 PM - 2:05 PM,Rm 310 Alumni Science Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CSEN 79L-1 - Object-Oriented Programming and Data Structures Laboratory,Computer Science and Engineering,79L,1,Open,0/15,Farokh Eskafi,1,W | 2:15 PM - 5:00 PM,Rm 106 Heafey Hall,,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CSEN 79L-2 - Object-Oriented Programming and Data Structures Laboratory,Computer Science and Engineering,79L,2,Open,0/15,Farokh Eskafi,1,W | 5:30 PM - 8:15 PM,Rm 106 Heafey Hall,,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
