Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
ECON 1-1 - Principles of Microeconomics (-),Economics,1,1,Open,0/22,Patricia Cameron-Loyd,4,M W F | 1:00 PM - 2:05 PM,Rm 212 Kenna Hall,"Core Explorations :: Social Science

LSB Core :: Undergraduate Business Core

Pathways :: Design Thinking

Pathways :: Sustainability",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ECON 1-2 - Principles of Microeconomics (-),Economics,1,2,Open,0/22,Patricia Cameron-Loyd,4,M W F | 2:15 PM - 3:20 PM,Rm 212 Kenna Hall,"Core Explorations :: Social Science

LSB Core :: Undergraduate Business Core

Pathways :: Design Thinking

Pathways :: Sustainability",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ECON 1-3 - Principles of Microeconomics (-),Economics,1,3,Open,0/22,Patricia Cameron-Loyd,4,M W F | 3:30 PM - 4:35 PM,Rm 212 Kenna Hall,"Core Explorations :: Social Science

LSB Core :: Undergraduate Business Core

Pathways :: Design Thinking

Pathways :: Sustainability",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ECON 1-4 - Principles of Microeconomics (-),Economics,1,4,Open,0/22,Orkhan Hasanaliyev,4,M W F | 10:30 AM - 11:35 AM,Rm 207 O'Connor Hall,"Core Explorations :: Social Science

LSB Core :: Undergraduate Business Core

Pathways :: Design Thinking

Pathways :: Sustainability",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ECON 1-5 - Principles of Microeconomics (-),Economics,1,5,Open,0/22,Damian Park,4,M W F | 9:15 AM - 10:20 AM,Rm 216 Kenna Hall,"Core Explorations :: Social Science

LSB Core :: Undergraduate Business Core

Pathways :: Design Thinking

Pathways :: Sustainability",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ECON 1-6 - Principles of Microeconomics (-),Economics,1,6,Open,0/22,Damian Park,4,M W F | 10:30 AM - 11:35 AM,Rm 216 Kenna Hall,"Core Explorations :: Social Science

LSB Core :: Undergraduate Business Core

Pathways :: Design Thinking

Pathways :: Sustainability",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ECON 1-7 - Principles of Microeconomics (-),Economics,1,7,Open,0/22,Damian Park,4,M W F | 1:00 PM - 2:05 PM,Rm 107 O'Connor Hall,"Core Explorations :: Social Science

LSB Core :: Undergraduate Business Core

Pathways :: Design Thinking

Pathways :: Sustainability",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ECON 1-8 - Principles of Microeconomics (-),Economics,1,8,Open,0/22,Audrey Guo,4,T Th | 2:00 PM - 3:40 PM,Rm 207 O'Connor Hall,"Core Explorations :: Social Science

LSB Core :: Undergraduate Business Core

Pathways :: Design Thinking

Pathways :: Sustainability",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ECON 1-9 - Principles of Microeconomics (-),Economics,1,9,Open,0/22,Audrey Guo,4,T Th | 3:50 PM - 5:30 PM,Rm 207 O'Connor Hall,"Core Explorations :: Social Science

LSB Core :: Undergraduate Business Core

Pathways :: Design Thinking

Pathways :: Sustainability",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ECON 1-10 - Principles of Microeconomics (-),Economics,1,10,Open,0/22,Hui Huang,4,T Th | 8:30 AM - 10:10 AM,Rm 304 Kenna Hall,"Core Explorations :: Social Science

LSB Core :: Undergraduate Business Core

Pathways :: Design Thinking

Pathways :: Sustainability",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
