Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
ECEN 20-1 - Emerging Areas in Electrical Engineering,Electrical and Computer Engineering,20,1,Open,0/50,Shoba Krishnan,2,Th | 2:15 PM - 5:00 PM,Rm 120 Alumni Science Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ECEN 21-1 - Introduction to Logic Design,Electrical and Computer Engineering,21,1,Open,0/36,Donald Chan | Don Chan,4,T Th | 8:30 AM - 10:10 AM,Rm 307 Daly Science 300,"Pathways :: Design Thinking

Pathways :: The Digital Age",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ECEN 21-2 - Introduction to Logic Design,Electrical and Computer Engineering,21,2,Open,0/36,Tokunbo Ogunfunmi,4,T Th | 10:20 AM - 12:00 PM,Rm 361 Alumni Science Hall,"Pathways :: Design Thinking

Pathways :: The Digital Age",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ECEN 21-3 - Introduction to Logic Design,Electrical and Computer Engineering,21,3,Open,0/36,Patrick McGuire,4,M W F | 10:30 AM - 11:35 AM,Rm 104 Kenna Hall,"Pathways :: Design Thinking

Pathways :: The Digital Age",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ECEN 21-4 - Introduction to Logic Design,Electrical and Computer Engineering,21,4,Open,0/36,Burak Kurkcu,4,T Th | 12:10 PM - 1:50 PM,RM 2301 SCDI,"Pathways :: Design Thinking

Pathways :: The Digital Age",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ECEN 21L-1 - Logic Design Lab,Electrical and Computer Engineering,21L,1,Open,0/18,Hoeseok Yang,1,M | 2:15 PM - 5:00 PM,RM 4001 SCDI,"Pathways :: Design Thinking

Pathways :: The Digital Age",Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ECEN 21L-2 - Logic Design Lab,Electrical and Computer Engineering,21L,2,Open,0/18,Hoeseok Yang,1,T | 2:15 PM - 5:00 PM,RM 4001 SCDI,"Pathways :: Design Thinking

Pathways :: The Digital Age",Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ECEN 21L-3 - Logic Design Lab,Electrical and Computer Engineering,21L,3,Open,0/18,Hoeseok Yang,1,W | 2:15 PM - 5:00 PM,RM 4001 SCDI,"Pathways :: Design Thinking

Pathways :: The Digital Age",Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ECEN 21L-4 - Logic Design Lab,Electrical and Computer Engineering,21L,4,Open,0/18,Hoeseok Yang,1,Th | 2:15 PM - 5:00 PM,RM 4001 SCDI,"Pathways :: Design Thinking

Pathways :: The Digital Age",Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ECEN 21L-5 - Logic Design Lab,Electrical and Computer Engineering,21L,5,Open,0/18,Hoeseok Yang,1,F | 2:15 PM - 5:00 PM,RM 4001 SCDI,"Pathways :: Design Thinking

Pathways :: The Digital Age",Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
