Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
FNCE 118-1 - Real Estate Principles,Finance,118,1,Open,0/30,Elyas Fermand,5,M W F | 2:15 PM - 3:20 PM,Rm 308 Lucas Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
FNCE 121-1 - Financial Management (-),Finance,121,1,Open,0/30,,5,M W F | 2:15 PM - 3:20 PM,Rm 361 Alumni Science Hall,LSB Core :: Undergraduate Business Core,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
FNCE 121-2 - Financial Management (-),Finance,121,2,Open,0/30,,5,M W F | 3:30 PM - 4:35 PM,Rm 361 Alumni Science Hall,LSB Core :: Undergraduate Business Core,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
FNCE 121-3 - Financial Management (-),Finance,121,3,Open,0/28,Yunjeen Kim,5,M W F | 1:00 PM - 2:05 PM,Rm 206 Lucas Hall,LSB Core :: Undergraduate Business Core,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
FNCE 121-4 - Financial Management (-),Finance,121,4,Open,0/30,Manish Tewari,5,T Th | 8:30 AM - 10:10 AM,Rm 206 Daly Science 200,LSB Core :: Undergraduate Business Core,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
FNCE 121-5 - Financial Management (-),Finance,121,5,Open,0/28,Manish Tewari,5,T Th | 10:20 AM - 12:00 PM,Rm 206 Daly Science 200,LSB Core :: Undergraduate Business Core,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
FNCE 121-6 - Financial Management (-),Finance,121,6,Open,0/30,Hoje Jo,5,T Th | 12:10 PM - 1:50 PM,Rm 104 Kenna Hall,LSB Core :: Undergraduate Business Core,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
FNCE 121-7 - Financial Management (-),Finance,121,7,Open,0/30,Hoje Jo,5,T Th | 3:50 PM - 5:30 PM,Rm 133 Vari Hall,LSB Core :: Undergraduate Business Core,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
FNCE 124-1 - Investments (-),Finance,124,1,Open,0/30,Chinh Nguyen | Tony Nguyen,5,M W F | 8:00 AM - 9:05 AM,Rm 206 Lucas Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
FNCE 124-2 - Investments (-),Finance,124,2,Open,0/30,Chinh Nguyen | Tony Nguyen,5,M W F | 2:15 PM - 3:20 PM,Rm 120 Alumni Science Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
FNCE 124-3 - Investments (-),Finance,124,3,Open,0/30,Gustavo Schwenkler,5,T Th | 10:20 AM - 12:00 PM,Rm 107 O'Connor Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
FNCE 124-4 - Investments (-),Finance,124,4,Open,0/30,Gustavo Schwenkler,5,T Th | 3:50 PM - 5:30 PM,Rm 308 Lucas Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
FNCE 125-1 - Corporate Financial Policy (-),Finance,125,1,Open,0/30,Yifei Mao,5,M W F | 10:30 AM - 11:35 AM,Rm 308 Lucas Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
FNCE 125-2 - Corporate Financial Policy (-),Finance,125,2,Open,0/30,Yifei Mao,5,M W F | 11:45 AM - 12:50 PM,Rm 308 Lucas Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
FNCE 125-3 - Corporate Financial Policy (-),Finance,125,3,Open,0/30,Yifei Mao,5,M W F | 1:00 PM - 2:05 PM,Rm 308 Lucas Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
FNCE 126-1 - Money and Capital Markets (-),Finance,126,1,Open,0/30,Manish Tewari,5,T Th | 2:00 PM - 3:40 PM,Rm 218 Kenna Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
FNCE 127-1 - Introduction to Real Estate Transactions,Finance,127,1,Open,0/28,,5,W | 3:40 PM - 6:55 PM,Rm 205 O'Connor Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
FNCE 128-1 - Real Estate Finance,Finance,128,1,Open,0/28,Elyas Fermand,5,M W F | 3:30 PM - 4:35 PM,Rm 308 Lucas Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
FNCE 130-1 - Ethics and Finance,Finance,130,1,Open,0/30,Ivan Asensio,5,M W | 3:30 PM - 5:15 PM,Rm 218 Kenna Hall,Pathways :: Applied Ethics,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
FNCE 131-1 - Real Estate Law,Finance,131,1,Open,0/28,"David Brown

Maria Bellafronto",5,T Th | 5:40 PM - 7:20 PM,Rm 307 Daly Science 300,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
FNCE 132-1 - Financial Derivatives,Finance,132,1,Open,0/30,Wen-Yao Ku,5,M W F | 10:30 AM - 11:35 AM,Rm 307 Lucas Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
FNCE 132-2 - Financial Derivatives,Finance,132,2,Open,0/30,Chinh Nguyen | Tony Nguyen,5,M W F | 11:45 AM - 12:50 PM,Rm 129 Vari Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
FNCE 135-1 - Applied Investment Management,Finance,135,1,Open,0/30,Wen-Yao Ku,5,M W F | 11:45 AM - 12:50 PM,Rm 307 Lucas Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
FNCE 143-1 - Entrepreneurial Finance (-),Finance,143,1,Open,0/30,Daniel Trepanier | Dan Trepanier,5,M W | 3:30 PM - 5:15 PM,Rm 102 Kenna Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
FNCE 146-1 - Introduction to Risk Management (-),Finance,146,1,Open,0/30,Nitin Barve,5,M W F | 1:00 PM - 2:05 PM,Rm 102 Kenna Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
FNCE 150-1 - Intro to FinTech: Innovations and Disruptions to Traditional Finance,Finance,150,1,Open,0/28,Manisha Sahai,5,T Th | 3:50 PM - 5:30 PM,Rm 307 Lucas Hall,Pathways :: Design Thinking,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
FNCE 174-1 - Mergers and Acquisitions,Finance,174,1,Open,0/30,Brian Zacharias,5,T Th | 8:30 AM - 10:10 AM,Rm 133 Vari Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
FNCE 180-1 - Financial Planning and Analysis,Finance,180,1,Open,0/30,Karl Motey,5,T Th | 10:20 AM - 12:00 PM,Rm 207 O'Connor Hall,"Pathways :: Applied Ethics

Pathways :: Sustainability",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
FNCE 186-1 - Applying Financial Models to Financial Data,Finance,186,1,Open,0/30,Nitin Barve,5,M W F | 2:15 PM - 3:20 PM,Rm 102 Kenna Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
FNCE 198-1 - Internship (-),Finance,198,1,Waitlist,0/0,Meir Statman,5,,,,Internship,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
FNCE 2405-1 - Investments,Finance,2405,1,Open,0/30,Gustavo Schwenkler,4,T Th | 5:45 PM - 7:20 PM,Rm 306 Lucas Hall,Graduate Business :: On-campus MS Finance Analytics,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
FNCE 2460-1 - Mergers/ Acquisitions/ and Corporate Restructuring,Finance,2460,1,Open,0/20,George Chacko,4,,,Online,Lecture,Online,2026-01-05,2026-03-15,Winter 2026 Quarter,FNCE 2460-/FNCE 2460-2/FNCE 2460-3
FNCE 2460-2 - Mergers/ Acquisitions/ and Corporate Restructuring,Finance,2460,2,Open,0/10,George Chacko,4,,,Graduate Business :: Online MBA,Lecture,Online,2026-01-05,2026-03-15,Winter 2026 Quarter,FNCE 2460-/FNCE 2460-1/FNCE 2460-3
