Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
ISBA 2403-1 - Machine Learning with Python,Information Systems & Business Analytics,2403,1,Open,0/20,Xiaoyan Liu | Amber Xiaoyan Liu,4,T Th | 7:35 PM - 9:10 PM,Rm 307 Lucas Hall,Graduate Business :: On-campus MS Business Analytics,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,ISBA 2403-/ISBA 2403-2
ISBA 2403-2 - Machine Learning with Python,Information Systems & Business Analytics,2403,2,Open,0/10,Xiaoyan Liu | Amber Xiaoyan Liu,4,T Th | 7:35 PM - 9:10 PM,Rm 307 Lucas Hall,Graduate Business :: Evening MBA,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,ISBA 2403-/ISBA 2403-1
ISBA 2403-3 - Machine Learning with Python,Information Systems & Business Analytics,2403,3,Open,0/30,Xiaoyan Liu | Amber Xiaoyan Liu,4,T Th | 5:45 PM - 7:20 PM,Rm 307 Lucas Hall,Graduate Business :: On-campus MS Business Analytics,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,ISBA 2403-/ISBA 2403-4
ISBA 2403-4 - Machine Learning with Python,Information Systems & Business Analytics,2403,4,Open,0/10,Xiaoyan Liu | Amber Xiaoyan Liu,4,T Th | 5:45 PM - 7:20 PM,Rm 307 Lucas Hall,Graduate Business :: On-campus MS Information Systems,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,ISBA 2403-/ISBA 2403-3
ISBA 2403-5 - Machine Learning with Python,Information Systems & Business Analytics,2403,5,Open,0/20,Tao Li,4,,,Online,Lecture,Online,2026-01-05,2026-03-15,Winter 2026 Quarter,ISBA 2403-/ISBA 2403-6
ISBA 2403-6 - Machine Learning with Python,Information Systems & Business Analytics,2403,6,Open,0/20,Tao Li,4,,,Graduate Business :: Online MBA,Lecture,Online,2026-01-05,2026-03-15,Winter 2026 Quarter,ISBA 2403-/ISBA 2403-5
ISBA 2406-1 - Object Oriented Analysis and Programming,Information Systems & Business Analytics,2406,1,Open,0/30,Manoochehr Ghiassi,4,M W | 5:45 PM - 7:20 PM,Rm 206 Lucas Hall,Graduate Business :: On-campus MS Information Systems,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ISBA 2408-1 - Software Project Management,Information Systems & Business Analytics,2408,1,Open,0/30,Lily Chang,4,M W | 7:35 PM - 9:10 PM,Rm 310 Lucas Hall,Graduate Business :: On-campus MS Information Systems,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ISBA 2411-1 - Natural Language Processing,Information Systems & Business Analytics,2411,1,Open,0/15,Michele Samorani,4,,,Online,Lecture,Online,2026-01-05,2026-03-15,Winter 2026 Quarter,ISBA 2411-/ISBA 2411-2/ISBA 2411-3
ISBA 2411-2 - Natural Language Processing,Information Systems & Business Analytics,2411,2,Open,0/10,Michele Samorani,4,,,Graduate Business :: Online MBA,Lecture,Online,2026-01-05,2026-03-15,Winter 2026 Quarter,ISBA 2411-/ISBA 2411-1/ISBA 2411-3
ISBA 2417-1 - Cloud Computing Architectures,Information Systems & Business Analytics,2417,1,Open,0/20,Tzu-Chin Tan | Alan Tan,4,T Th | 7:35 PM - 9:10 PM,Rm 210 Lucas Hall,Graduate Business :: On-campus MS Business Analytics,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,ISBA 2417-/ISBA 2417-2
ISBA 2417-2 - Cloud Computing Architectures,Information Systems & Business Analytics,2417,2,Open,0/20,Tzu-Chin Tan | Alan Tan,4,T Th | 7:35 PM - 9:10 PM,Rm 210 Lucas Hall,Graduate Business :: On-campus MS Information Systems,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,ISBA 2417-/ISBA 2417-1
ISBA 2419-1 - Business Intelligence and Data Warehousing,Information Systems & Business Analytics,2419,1,Open,0/30,Mahmoud Parsian,4,T Th | 5:45 PM - 7:20 PM,Rm 310 Lucas Hall,Graduate Business :: On-campus MS Information Systems,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ISBA 2422-1 - Data Structures and Algorithms,Information Systems & Business Analytics,2422,1,Open,0/30,Andrea Vitali,2,Sa | 9:00 AM - 12:30 PM,Rm 308 Lucas Hall,Graduate Business :: On-campus MS Information Systems,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ISBA 2700-4 - Industry Practicum,Information Systems & Business Analytics,2700,4,Closed,0/0,,2,,,Online,Experiential,Online,2026-01-05,2026-03-20,Winter 2026 Quarter,
ISBA 2702-2 - Design Capstone,Information Systems & Business Analytics,2702,2,Closed,0/0,,2,,,Online,Experiential,Online,2026-01-05,2026-03-20,Winter 2026 Quarter,
