Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
OMIS 15-1 - Introduction to Spreadsheets,Information Systems &Analytics,15,1,Open,0/20,Nihal Sahan,2,Th | 10:20 AM - 12:00 PM,Rm 310 Lucas Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
OMIS 15-2 - Introduction to Spreadsheets,Information Systems &Analytics,15,2,Open,0/20,Nihal Sahan,2,T | 10:20 AM - 12:00 PM,Rm 310 Lucas Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
OMIS 15-3 - Introduction to Spreadsheets,Information Systems &Analytics,15,3,Open,0/20,Sumana Sur,2,F | 3:30 PM - 5:15 PM,Rm 210 Lucas Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
OMIS 15-4 - Introduction to Spreadsheets,Information Systems &Analytics,15,4,Open,0/20,Sumana Sur,2,M W | 9:15 AM - 10:20 AM,Rm 210 Lucas Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
OMIS 15-5 - Introduction to Spreadsheets,Information Systems &Analytics,15,5,Open,0/20,Sumana Sur,2,M W | 10:30 AM - 11:35 AM,Rm 210 Lucas Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
OMIS 15-6 - Introduction to Spreadsheets,Information Systems &Analytics,15,6,Open,0/20,Sumana Sur,2,M W | 1:00 PM - 2:05 PM,Rm 210 Lucas Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
OMIS 15-7 - Introduction to Spreadsheets,Information Systems &Analytics,15,7,Open,0/20,Sumana Sur,2,M W | 11:45 AM - 12:50 PM,Rm 210 Lucas Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
OMIS 15-8 - Introduction to Spreadsheets,Information Systems &Analytics,15,8,Open,0/20,Sumana Sur,2,Th | 12:10 PM - 1:50 PM,Rm 310 Lucas Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
OMIS 15-9 - Introduction to Spreadsheets,Information Systems &Analytics,15,9,Open,0/20,Sumana Sur,2,T | 12:10 PM - 1:50 PM,Rm 310 Lucas Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
OMIS 30-1 - Introduction to Programming,Information Systems &Analytics,30,1,Open,0/20,David Zimbra,4,T Th | 10:20 AM - 12:00 PM,Rm 210 Lucas Hall,Pathways :: The Digital Age,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
