Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
MGMT 6-1 - Business Ethics (-),Management,6,1,Open,0/40,Michael Santoro,4,T Th | 3:50 PM - 5:30 PM,Rm 104 Kenna Hall,"Core Explorations :: Ethics

LSB Core :: Undergraduate Business Core

Pathways :: Applied Ethics

Pathways :: Design Thinking

Pathways :: Public Policy",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MGMT 6-2 - Business Ethics (-),Management,6,2,Open,0/40,Michael Santoro,4,T Th | 12:10 PM - 1:50 PM,Rm 209 Lucas Hall,"Core Explorations :: Ethics

LSB Core :: Undergraduate Business Core

Pathways :: Applied Ethics

Pathways :: Design Thinking

Pathways :: Public Policy",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MGMT 6-3 - Business Ethics (-),Management,6,3,Open,0/40,Michael Santoro,4,T Th | 5:40 PM - 7:20 PM,Rm 104 Kenna Hall,"Core Explorations :: Ethics

LSB Core :: Undergraduate Business Core

Pathways :: Applied Ethics

Pathways :: Design Thinking

Pathways :: Public Policy",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MGMT 50-1 - Professional Development Skills and Strategies Seminar,Management,50,1,Open,0/15,Xiaoying Ji | Fiona Ji,1,W | 2:15 PM - 4:15 PM,Rm 225 Heafey Hall,,Seminar,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MGMT 50-2 - Professional Development Skills and Strategies Seminar,Management,50,2,Open,0/15,Anisha Weber,1,W | 3:30 PM - 5:30 PM,Rm 307 Daly Science 300,,Seminar,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MGMT 50-3 - Professional Development Skills and Strategies Seminar,Management,50,3,Open,0/15,Anisha Weber,1,T | 3:50 PM - 5:30 PM,Rm 212 Kenna Hall,,Seminar,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MGMT 50-4 - Professional Development Skills and Strategies Seminar,Management,50,4,Open,0/15,,1,M | 4:00 PM - 6:00 PM,Rm 309 Lucas Hall,,Seminar,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MGMT 71-1 - Foundations of Leadership: Clarifying Personal Values,Management,71,1,Open,0/25,Deirdre Frontczak,2,T | 12:10 PM - 1:50 PM,Rm 309 Lucas Hall,"Pathways :: Leading People, Organizations and Social Change",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MGMT 71-2 - Foundations of Leadership: Clarifying Personal Values,Management,71,2,Open,0/25,Deirdre Frontczak,2,Th | 12:10 PM - 1:50 PM,Rm 309 Lucas Hall,"Pathways :: Leading People, Organizations and Social Change",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MGMT 71-3 - Foundations of Leadership: Clarifying Personal Values,Management,71,3,Open,0/25,Deirdre Frontczak,2,T | 2:00 PM - 3:40 PM,Rm 309 Lucas Hall,"Pathways :: Leading People, Organizations and Social Change",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MGMT 71-4 - Foundations of Leadership: Clarifying Personal Values,Management,71,4,Open,0/25,Deirdre Frontczak,2,Th | 2:00 PM - 3:40 PM,Rm 309 Lucas Hall,"Pathways :: Leading People, Organizations and Social Change",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MGMT 71-5 - Foundations of Leadership: Clarifying Personal Values,Management,71,5,Open,0/25,Shuqi Li,2,T | 12:10 PM - 1:50 PM,Rm 108 Alameda hall,"Pathways :: Leading People, Organizations and Social Change",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MGMT 71-6 - Foundations of Leadership: Clarifying Personal Values,Management,71,6,Open,0/25,Sarah Cabral,2,T | 10:20 AM - 12:00 PM,Rm 134 Vari Hall,"Pathways :: Leading People, Organizations and Social Change",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MGMT 71-7 - Foundations of Leadership: Clarifying Personal Values,Management,71,7,Open,0/25,Andrew McBride,2,T | 5:40 PM - 7:20 PM,Rm 209 O'Connor Hall,"Pathways :: Leading People, Organizations and Social Change",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MGMT 71-8 - Foundations of Leadership: Clarifying Personal Values,Management,71,8,Open,0/25,Andrew McBride,2,Th | 5:40 PM - 7:20 PM,Rm 209 O'Connor Hall,"Pathways :: Leading People, Organizations and Social Change",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MGMT 71-9 - Foundations of Leadership: Clarifying Personal Values,Management,71,9,Open,0/25,Shuqi Li,2,Th | 12:10 PM - 1:50 PM,Rm 109 O'Connor Hall,"Pathways :: Leading People, Organizations and Social Change",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MGMT 71-10 - Foundations of Leadership: Clarifying Personal Values,Management,71,10,Open,0/25,Sarah Cabral,2,Th | 10:20 AM - 12:00 PM,Rm 134 Vari Hall,"Pathways :: Leading People, Organizations and Social Change",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MGMT 71-11 - Foundations of Leadership: Clarifying Personal Values,Management,71,11,Open,0/25,,2,W | 3:30 PM - 5:15 PM,Rm 134 Vari Hall,"Pathways :: Leading People, Organizations and Social Change",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MGMT 71-12 - Foundations of Leadership: Clarifying Personal Values,Management,71,12,Open,0/25,,2,W | 3:30 PM - 5:15 PM,Rm 109 O'Connor Hall,"Pathways :: Leading People, Organizations and Social Change",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MGMT 71-13 - Foundations of Leadership: Clarifying Personal Values,Management,71,13,Open,0/25,,2,W | 5:25 PM - 7:10 PM,Rm 209 O'Connor Hall,"Pathways :: Leading People, Organizations and Social Change",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MGMT 71-14 - Foundations of Leadership: Clarifying Personal Values,Management,71,14,Open,0/25,Sarah Cabral,2,T | 2:00 PM - 3:40 PM,Rm 120 Alumni Science Hall,"Pathways :: Leading People, Organizations and Social Change",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MGMT 71-15 - Foundations of Leadership: Clarifying Personal Values,Management,71,15,Open,0/25,Sarah Cabral,2,Th | 2:00 PM - 3:40 PM,Rm 207 Daly Science 200,"Pathways :: Leading People, Organizations and Social Change",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MGMT 72-1 - Values-Driven Leadership in Silicon Valley,Management,72,1,Open,0/16,Shuqi Li,2,T Th | 5:40 PM - 7:10 PM | 01/05/2026 - 02/06/2026,Rm 109 Kenna Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MGMT 72-2 - Values-Driven Leadership in Silicon Valley,Management,72,2,Open,0/16,Shuqi Li,2,T Th | 3:50 PM - 5:30 PM | 01/05/2026 - 02/06/2026,Rm 109 Kenna Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MGMT 72-3 - Values-Driven Leadership in Silicon Valley,Management,72,3,Open,0/16,Andrew McBride,2,T Th | 12:10 PM - 1:50 PM | 01/05/2026 - 02/06/2026,Rm 105 Alameda hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MGMT 72-4 - Values-Driven Leadership in Silicon Valley,Management,72,4,Open,0/16,Andrew McBride,2,T Th | 2:00 PM - 3:40 PM | 01/05/2026 - 02/06/2026,Rm 105 Alameda hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
