Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
MKTG 165-1 - Customer-Centric Retailing (-),Marketing,165,1,Open,0/25,Aditi Bajaj,5,M W F | 2:15 PM - 3:20 PM,Rm 306 Lucas Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MKTG 169-1 - Adv Retail Studies Seminar,Marketing,169,1,Closed,0/0,Kirthi Kalyanam,5,T Th | 10:20 AM - 12:00 PM,Rm 209 O'Connor Hall,,Seminar,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MKTG 169-2 - Adv Retail Studies Seminar,Marketing,169,2,Closed,0/0,Kirthi Kalyanam,5,T Th | 12:10 PM - 1:50 PM,Rm 209 O'Connor Hall,,Seminar,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MKTG 174-1 - AI for Customer Analytics,Marketing,174,1,Open,0/25,Shunyao Yan,5,M W F | 2:15 PM - 3:20 PM,Rm 206 Lucas Hall,Pathways :: The Digital Age,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MKTG 175-1 - Internet Marketing and E-commerce (-),Marketing,175,1,Open,0/25,Patrick Williams,5,T Th | 2:00 PM - 3:40 PM,Rm 208 Lucas Hall,Pathways :: The Digital Age,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MKTG 178-1 - Marketing Across Cultures (-),Marketing,178,1,Open,0/25,Rick Rasmussen,5,M W F | 3:30 PM - 4:35 PM,Rm 206 Lucas Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MKTG 181-1 - Principles of Marketing (-),Marketing,181,1,Open,0/25,Peng Liu,5,T Th | 8:30 AM - 10:10 AM,Rm 207 Lucas Hall,LSB Core :: Undergraduate Business Core,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MKTG 181-2 - Principles of Marketing (-),Marketing,181,2,Open,0/25,Peng Liu,5,T Th | 12:10 PM - 1:50 PM,Rm 207 Lucas Hall,LSB Core :: Undergraduate Business Core,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MKTG 181-3 - Principles of Marketing (-),Marketing,181,3,Open,0/25,Shunyao Yan,5,M W F | 9:15 AM - 10:20 AM,Rm 207 Lucas Hall,LSB Core :: Undergraduate Business Core,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MKTG 181-4 - Principles of Marketing (-),Marketing,181,4,Open,0/25,Zijing Zhang,5,M W F | 11:45 AM - 12:50 PM,Rm 206 Lucas Hall,LSB Core :: Undergraduate Business Core,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MKTG 181-5 - Principles of Marketing (-),Marketing,181,5,Open,0/25,Zijing Zhang,5,M W F | 2:15 PM - 3:20 PM,Rm 307 Lucas Hall,LSB Core :: Undergraduate Business Core,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MKTG 181-6 - Principles of Marketing (-),Marketing,181,6,Open,0/25,Jang Won Choi | Jangwon Choi,5,T Th | 2:00 PM - 3:40 PM,Rm 306 Lucas Hall,LSB Core :: Undergraduate Business Core,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MKTG 181-7 - Principles of Marketing (-),Marketing,181,7,Open,0/25,Jang Won Choi | Jangwon Choi,5,T Th | 3:50 PM - 5:30 PM,Rm 306 Lucas Hall,LSB Core :: Undergraduate Business Core,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MKTG 181S-1 - Principles of Marketing,Marketing,181S,1,Open,0/42,Shunyao Yan,5,M W F | 10:30 AM - 11:35 AM,Rm 207 Lucas Hall,LSB Core :: Undergraduate Business Core,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MKTG 182-1 - Analysis for Marketing Decisions (-),Marketing,182,1,Open,0/25,Peng Liu,5,T Th | 10:20 AM - 12:00 PM,Rm 207 Lucas Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MKTG 182-2 - Analysis for Marketing Decisions (-),Marketing,182,2,Open,0/25,Peng Liu,5,T Th | 3:50 PM - 5:30 PM,Rm 206 Lucas Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MKTG 182-3 - Analysis for Marketing Decisions (-),Marketing,182,3,Open,0/25,Sujata Ramnarayan,5,M W F | 2:15 PM - 3:20 PM,Rm 209 Lucas Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MKTG 183-1 - Customer Behavior,Marketing,183,1,Open,0/25,Miwa Merz,5,T Th | 2:00 PM - 3:40 PM,Rm 206 Lucas Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MKTG 183-2 - Customer Behavior,Marketing,183,2,Open,0/25,Miwa Merz,5,T Th | 12:10 PM - 1:50 PM,Rm 206 Lucas Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MKTG 185-1 - Sales Management (-),Marketing,185,1,Open,0/25,Bhavna Sharma,5,M W F | 9:15 AM - 10:20 AM,Rm 209 Lucas Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MKTG 192-1 - Marketing Analytics,Marketing,192,1,Open,0/25,Sujata Ramnarayan,5,M W F | 9:15 AM - 10:20 AM,Rm 208 Lucas Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MKTG 198-1 - Internship (-),Marketing,198,1,Closed,0/0,Peng Liu,1 - 3,,,,Internship,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MKTG 2505-1 - Data Driven Marketing using R,Marketing,2505,1,Open,0/25,Sujata Ramnarayan,4,M W | 5:45 PM - 7:20 PM,Rm 307 Lucas Hall,Graduate Business :: On-campus MS Business Analytics,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MKTG 2505-2 - Data Driven Marketing using R,Marketing,2505,2,Open,0/25,Sujata Ramnarayan,4,M W | 7:35 PM - 9:10 PM,Rm 307 Lucas Hall,Graduate Business :: On-campus MS Business Analytics,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,MKTG 2505-/MKTG 2505-3
MKTG 2505-3 - Data Driven Marketing using R,Marketing,2505,3,Open,0/10,Sujata Ramnarayan,4,M W | 7:35 PM - 9:10 PM,Rm 307 Lucas Hall,Graduate Business :: Evening MBA,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,MKTG 2505-/MKTG 2505-2
