Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
MATH 6-1 - Finite Mathematics for Social Science,Mathematics,6,1,Open,0/37,Katelyn Byington | Katelyn White Byington,4,M W F | 1:00 PM - 2:05 PM,Rm 105 O'Connor Hall,Core Foundations :: Mathematics,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MATH 6-2 - Finite Mathematics for Social Science,Mathematics,6,2,Open,0/37,Shilpa Dasgupta,4,M W F | 2:15 PM - 3:20 PM,Rm 206 O'Connor Hall,Core Foundations :: Mathematics,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MATH 6-3 - Finite Mathematics for Social Science,Mathematics,6,3,Open,0/37,Shilpa Dasgupta,4,M W F | 3:30 PM - 4:35 PM,Rm 206 O'Connor Hall,Core Foundations :: Mathematics,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MATH 8-1 - Introduction to Statistics (-),Mathematics,8,1,Open,0/37,Katelyn Byington | Katelyn White Byington,4,M W F | 10:30 AM - 11:35 AM,Rm 105 O'Connor Hall,Core Foundations :: Mathematics,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MATH 8-2 - Introduction to Statistics (-),Mathematics,8,2,Open,0/37,Corey Irving,4,M W F | 4:45 PM - 5:50 PM,Rm 206 Daly Science 200,Core Foundations :: Mathematics,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MATH 8-3 - Introduction to Statistics (-),Mathematics,8,3,Open,0/37,Corey Irving,4,M W F | 3:30 PM - 4:35 PM,Rm 206 Daly Science 200,Core Foundations :: Mathematics,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MATH 8-4 - Introduction to Statistics (-),Mathematics,8,4,Open,0/37,Emily Macway,4,M W F | 9:15 AM - 10:20 AM,Rm 104 O'Connor Hall,Core Foundations :: Mathematics,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MATH 9-1 - Precalculus,Mathematics,9,1,Open,0/32,Priya Babu,4,M W F | 1:00 PM - 2:05 PM,RM 1302 SCDI,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MATH 9-2 - Precalculus,Mathematics,9,2,Open,0/32,William Dana | Will Dana,4,M W F | 9:15 AM - 10:20 AM,Rm 107 O'Connor Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MATH 9B-1 - Prelude to Calculus II,Mathematics,9B,1,Open,0/30,Luvreet Sangha,4,M W F | 2:15 PM - 3:20 PM,Rm 309 Daly Science 300,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MATH 9B-2 - Prelude to Calculus II,Mathematics,9B,2,Open,0/30,George Schaeffer,4,M W F | 3:30 PM - 4:35 PM,Rm 122 Heafey Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MATH 9S-1 - Precalculus with Support,Mathematics,9S,1,Open,0/30,Linda Burks,4,M W F | 8:00 AM - 9:05 AM,Rm 309 Daly Science 300,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MATH 9S-2 - Precalculus with Support,Mathematics,9S,2,Open,0/20,Linda Burks,4,T | 8:30 AM - 10:10 AM,Rm 008 Casa Italiana Residence,,Discussion,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MATH 9S-3 - Precalculus with Support,Mathematics,9S,3,Open,0/20,Linda Burks,4,T | 10:20 AM - 12:00 PM,Rm 008 Casa Italiana Residence,,Discussion,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MATH 11-1 - Calculus and Analytic Geometry I,Mathematics,11,1,Open,0/27,Mehdi Ahmadi,4,M W F | 9:15 AM - 10:20 AM,Rm 214 Kenna Hall,"Core Foundations :: Mathematics

LSB Core :: Undergraduate Business Core",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MATH 11-2 - Calculus and Analytic Geometry I,Mathematics,11,2,Open,0/27,Priya Babu,4,M W F | 4:45 PM - 5:50 PM,Rm 107 O'Connor Hall,"Core Foundations :: Mathematics

LSB Core :: Undergraduate Business Core",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MATH 11-3 - Calculus and Analytic Geometry I,Mathematics,11,3,Open,0/27,Priya Babu,4,M W F | 3:30 PM - 4:35 PM,Rm 107 O'Connor Hall,"Core Foundations :: Mathematics

LSB Core :: Undergraduate Business Core",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MATH 11-4 - Calculus and Analytic Geometry I,Mathematics,11,4,Open,0/27,Gayathri Chakravarthy,4,M W F | 8:00 AM - 9:05 AM,Rm 206 Daly Science 200,"Core Foundations :: Mathematics

LSB Core :: Undergraduate Business Core",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MATH 11-5 - Calculus and Analytic Geometry I,Mathematics,11,5,Open,0/27,Emily Macway,4,M W F | 2:15 PM - 3:20 PM,Rm 307 Daly Science 300,"Core Foundations :: Mathematics

LSB Core :: Undergraduate Business Core",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MATH 11-6 - Calculus and Analytic Geometry I,Mathematics,11,6,Open,0/27,Laurie Poe,4,M W F | 9:15 AM - 10:20 AM,Rm 207 O'Connor Hall,"Core Foundations :: Mathematics

LSB Core :: Undergraduate Business Core",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MATH 12-1 - Calculus and Analytic Geometry II,Mathematics,12,1,Open,0/27,Robert Bekes,4,M W F | 1:00 PM - 2:05 PM,Rm 205 O'Connor Hall,"Core Foundations :: Mathematics

LSB Core :: Undergraduate Business Core",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MATH 12-2 - Calculus and Analytic Geometry II,Mathematics,12,2,Open,0/27,Gayathri Chakravarthy,4,M W F | 9:15 AM - 10:20 AM,Rm 206 Daly Science 200,"Core Foundations :: Mathematics

LSB Core :: Undergraduate Business Core",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MATH 12-3 - Calculus and Analytic Geometry II,Mathematics,12,3,Open,0/27,Chi-Yun Hsu,4,M W F | 8:00 AM - 9:05 AM,Rm 133 Vari Hall,"Core Foundations :: Mathematics

LSB Core :: Undergraduate Business Core",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MATH 12-4 - Calculus and Analytic Geometry II,Mathematics,12,4,Open,0/27,Luvreet Sangha,4,M W F | 11:45 AM - 12:50 PM,Rm 309 Daly Science 300,"Core Foundations :: Mathematics

LSB Core :: Undergraduate Business Core",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MATH 12-5 - Calculus and Analytic Geometry II,Mathematics,12,5,Open,0/27,Luvreet Sangha,4,M W F | 10:30 AM - 11:35 AM,Rm 309 Daly Science 300,"Core Foundations :: Mathematics

LSB Core :: Undergraduate Business Core",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MATH 12-6 - Calculus and Analytic Geometry II,Mathematics,12,6,Open,0/27,Vaishavi Sharma,4,M W F | 3:30 PM - 4:35 PM,Rm 106 O'Connor Hall,"Core Foundations :: Mathematics

LSB Core :: Undergraduate Business Core",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MATH 12-7 - Calculus and Analytic Geometry II,Mathematics,12,7,Open,0/27,Vaishavi Sharma,4,M W F | 4:45 PM - 5:50 PM,Rm 106 O'Connor Hall,"Core Foundations :: Mathematics

LSB Core :: Undergraduate Business Core",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MATH 13-1 - Calculus and Analytic Geometry III,Mathematics,13,1,Open,0/27,William Dana | Will Dana,4,M W F | 1:00 PM - 2:05 PM,Rm 008 Casa Italiana Residence,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MATH 13-2 - Calculus and Analytic Geometry III,Mathematics,13,2,Open,0/27,William Dana | Will Dana,4,M W F | 2:15 PM - 3:20 PM,Rm 008 Casa Italiana Residence,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MATH 13-3 - Calculus and Analytic Geometry III,Mathematics,13,3,Open,0/27,Evan Gawlik,4,M W F | 11:45 AM - 12:50 PM,Rm 116 Bergin Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
