Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
PHIL 1A-1 - Critical Thinking and Writing I (-),Philosophy,1A,1,Open,0/19,Tyler van Wulven,4,M W F | 8:00 AM - 9:05 AM,Rm 231 Mayer Theatre,Core Foundations :: Critical Thinking and Writing 1,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
PHIL 1A-2 - Critical Thinking and Writing I (-),Philosophy,1A,2,Open,0/19,Robert Shanklin,4,M W F | 10:30 AM - 11:35 AM,Rm 108 Edward M. Dowd Art & Art History,Core Foundations :: Critical Thinking and Writing 1,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
PHIL 2A-1 - Critical Thinking and Writing II (-),Philosophy,2A,1,Closed,19/19,Madeline Cronin,4,T Th | 8:30 AM - 10:10 AM,Rm 105 Kenna Hall,Core Foundations :: Critical Thinking and Writing 2,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
PHIL 2H-1 - Critical Think and Write II: Honors (-),Philosophy,2H,1,Closed,17/0,Robert Shanklin,4,M W F | 1:00 PM - 2:05 PM,Rm 122 Edward M. Dowd Art & Art History,Core Foundations :: Critical Thinking and Writing 2,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
"PHIL 11A-1 - Cultures and Ideas I (Philosophy, Society, & Culture)",Philosophy,11A,1,Open,0/25,Kimberly Dill,4,T Th | 3:50 PM - 5:30 PM,Rm 101 Alameda hall,Core Foundations :: Cultures and Ideas 1,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
"PHIL 11A-2 - Cultures and Ideas I (Philosophy, Society, & Culture)",Philosophy,11A,2,Open,0/25,Kimberly Dill,4,T Th | 12:10 PM - 1:50 PM,Rm 109 Kenna Hall,Core Foundations :: Cultures and Ideas 1,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
"PHIL 11A-3 - Cultures and Ideas I (Philosophy, Society, & Culture)",Philosophy,11A,3,Open,0/25,Matthew Izor,4,M W F | 11:45 AM - 12:50 PM,Rm 107 Kenna Hall,Core Foundations :: Cultures and Ideas 1,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
"PHIL 11A-4 - Cultures and Ideas I (Philosophy, Society, & Culture)",Philosophy,11A,4,Open,0/25,Christine Wieseler,4,M W F | 3:30 PM - 4:35 PM,Rm 109 Kenna Hall,Core Foundations :: Cultures and Ideas 1,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
"PHIL 11A-5 - Cultures and Ideas I (Philosophy, Society, & Culture)",Philosophy,11A,5,Open,0/25,Christine Wieseler,4,M W F | 4:45 PM - 5:50 PM,Rm 109 Kenna Hall,Core Foundations :: Cultures and Ideas 1,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
"PHIL 11A-6 - Cultures and Ideas I (Philosophy, Society, & Culture)",Philosophy,11A,6,Open,0/25,Nathan Lackey,4,M W F | 9:15 AM - 10:20 AM,Rm 108 Alameda hall,Core Foundations :: Cultures and Ideas 1,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
"PHIL 11A-7 - Cultures and Ideas I (Philosophy, Society, & Culture)",Philosophy,11A,7,Open,0/25,Christine Wieseler,4,M W F | 1:00 PM - 2:05 PM,Rm 105 Kenna Hall,Core Foundations :: Cultures and Ideas 1,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
PHIL 11H-1 - Cultures and Ideas I - Honors (Emotions),Philosophy,11H,1,Closed,17/17,Erick Ramirez,4,T Th | 8:30 AM - 10:10 AM,Rm 109 Kenna Hall,Core Foundations :: Cultures and Ideas 1,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
"PHIL 12A-1 - Cultures and Ideas II (Philosophy, Society, and Culture)",Philosophy,12A,1,Closed,24/0,Justin Clardy,4,T Th | 10:20 AM - 12:00 PM,Rm 109 Kenna Hall,Core Foundations :: Cultures and Ideas 2,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
PHIL 12A-2 - Cultures and Ideas II (Justice and the Just Society),Philosophy,12A,2,Closed,26/0,Scott LaBarge,4,M W F | 1:00 PM - 2:05 PM,Rm 209 O'Connor Hall,Core Foundations :: Cultures and Ideas 2,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
