Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
PHSC 1-1 - Introduction to Public Health (-),Public Health Science,1,1,Open,0/38,Micah Lattanner,4,M W F | 10:30 AM - 11:35 AM,Rm 218 Kenna Hall,"Core Explorations :: Science, Technology and Society

Pathways :: Global Health

Pathways :: Values in Science and Technology",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
PHSC 2-1 - The American Health System,Public Health Science,2,1,Open,0/38,Sheila Yuter,4,M W | 5:25 PM - 7:10 PM,Rm 120 Alumni Science Hall,Core Explorations :: Civic Engagement,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
PHSC 3-1 - Introduction to Community Health,Public Health Science,3,1,Open,0/30,Alice Villatoro,4,T Th | 8:30 AM - 10:10 AM,Rm 102 Alameda hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
PHSC 50-1 - Introduction to Biostatistics for Public Health,Public Health Science,50,1,Open,0/32,Micah Lattanner,4,M W F | 8:00 AM - 9:05 AM,Rm 310 Alumni Science Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
PHSC 100-1 - Epidemiology L and L,Public Health Science,100,1,Open,0/30,Natasha Glendening,5,M W F | 9:15 AM - 10:20 AM,Rm 207 Daly Science 200,"Core Explorations :: Science, Technology and Society

Pathways :: Values in Science and Technology",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,PHSC 100-/BIOL 117-1
PHSC 100-2 - Epidemiology L and L,Public Health Science,100,2,Open,0/15,Natasha Glendening,5,W | 2:15 PM - 5:00 PM,Rm 256 Alumni Science Hall,"Core Explorations :: Science, Technology and Society

Pathways :: Values in Science and Technology",Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,PHSC 100-/BIOL 117-2
PHSC 100-3 - Epidemiology L and L,Public Health Science,100,3,Open,0/15,Natasha Glendening,5,F | 2:15 PM - 5:00 PM,Rm 256 Alumni Science Hall,"Core Explorations :: Science, Technology and Society

Pathways :: Values in Science and Technology",Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,PHSC 100-/BIOL 117-3
PHSC 124-1 - Health Consequences of a Western Lifestyle,Public Health Science,124,1,Open,0/22,Michele Parker,5,T Th | 8:30 AM - 10:10 AM,Rm 220 Alumni Science Hall,Pathways :: Global Health,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,PHSC 124-/BIOL 106-1
"PHSC 125-1 - Race, Class, Gender, and Public Health",Public Health Science,125,1,Open,0/30,Alice Villatoro,5,T Th | 2:00 PM - 3:40 PM,Rm 101 Alumni Science Hall,"Core Explorations :: Diversity: US Perspectives

Pathways :: Race, Place and Social Inequalities",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,PHSC 125-/GNSX 131-1
PHSC 139-1 - Public Health Internship (-),Public Health Science,139,1,Open,0/20,Sarah Hays,2,M | 5:25 PM - 7:10 PM,Rm 104 Alameda hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
PHSC 151-1 - Program Planning and Evaluation,Public Health Science,151,1,Open,0/30,Vanessa Errisuriz,5,T Th | 3:50 PM - 5:30 PM,Rm 105 Alameda hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
PHSC 160-1 - Public Health Responses to Substance Use,Public Health Science,160,1,Open,0/31,Paul Gilbert,5,T Th | 2:00 PM - 3:40 PM,Rm 128 Vari Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,PHSC 160-/PSYC 163-1
PHSC 175-1 - Research Methods for Public Health,Public Health Science,175,1,Open,0/30,Paul Gilbert,5,T Th | 3:50 PM - 5:30 PM,Rm 308 Kenna Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
PHSC 190-1 - Public Health Capstone,Public Health Science,190,1,Closed,0/0,Vanessa Errisuriz,5,T Th | 10:20 AM - 12:00 PM,Rm 208 Edward M. Dowd Art & Art History,Pathways :: Global Health,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
PHSC 191-1 - Violence Prevention Educators,Public Health Science,191,1,Open,0/24,,2,M W | 5:25 PM - 7:10 PM,Rm 108 Alameda hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
PHSC 192-1 - Peer Advising Practicum,Public Health Science,192,1,Closed,0/0,Michele Parker,1,,,,Independent Study,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
PHSC 197-1 - Career Exploration in Public Health (-),Public Health Science,197,1,Open,0/20,Sarah Hays,2,W | 3:30 PM - 5:10 PM,Rm 209 O'Connor Hall,,Internship,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
PHSC 198-1 - Peer Health Educator Practicum,Public Health Science,198,1,Open,0/40,,1,,,,Independent Study,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
