Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
RSOC 7-1 - South Asian Religious Traditions,Religion & Society,7,1,Open,0/28,Gaurika Mehta,4,T Th | 12:10 PM - 1:50 PM,Rm 163 Graham Hall,"Core Foundations :: Religion, Theology and Culture 1",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
RSOC 7-2 - South Asian Religious Traditions,Religion & Society,7,2,Open,0/28,Daniel Morgan,4,T Th | 2:00 PM - 3:40 PM,Rm 212 Kenna Hall,"Core Foundations :: Religion, Theology and Culture 1",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
"RSOC 8-1 - Jews, Judaism, and Film",Religion & Society,8,1,Open,0/28,Akiba Lerner,4,M | 3:30 PM - 6:30 PM,Rm 214 Kenna Hall,"Core Foundations :: Religion, Theology and Culture 1",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
"RSOC 8-2 - Jews, Judaism, and Film",Religion & Society,8,2,Open,0/28,Akiba Lerner,4,W | 3:30 PM - 6:30 PM,Rm 214 Kenna Hall,"Core Foundations :: Religion, Theology and Culture 1",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
RSOC 9-1 - Ways of Understanding Religions,Religion & Society,9,1,Open,0/28,Sarita Tamayo-Moraga,4,M W F | 11:45 AM - 12:50 PM,Commons Mclaughlin-Walsh Residence Hall,"Core Foundations :: Religion, Theology and Culture 1",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
RSOC 9-2 - Ways of Understanding Religions,Religion & Society,9,2,Open,0/28,Kevin Chaves,4,M W | 3:30 PM - 5:15 PM,Rm 304 Kenna Hall,"Core Foundations :: Religion, Theology and Culture 1",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
RSOC 9-3 - Ways of Understanding Religions,Religion & Society,9,3,Open,0/28,Jaime Wright,4,T Th | 3:50 PM - 5:30 PM,Rm 111 Kenna Hall,"Core Foundations :: Religion, Theology and Culture 1",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
RSOC 9-4 - Ways of Understanding Religions,Religion & Society,9,4,Open,0/28,Jaime Wright,4,T Th | 5:40 PM - 7:20 PM,Rm 111 Kenna Hall,"Core Foundations :: Religion, Theology and Culture 1",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
RSOC 10-1 - Asian Religious Traditions,Religion & Society,10,1,Open,0/28,Thao Nguyen,4,T Th | 3:50 PM - 5:30 PM,Rm 105 Kenna Hall,"Core Foundations :: Religion, Theology and Culture 1",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
RSOC 56-1 - The Meaning of Life,Religion & Society,56,1,Open,0/35,Kevin Chaves,4,M W | 6:00 PM - 7:45 PM,Rm 111 Kenna Hall,"Core Explorations :: Religion, Theology and Culture 2",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
