Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
SOCI 1-1 - Principles of Sociology (-),Sociology,1,1,Open,0/35,Cara Chiaraluce,4,M W F | 10:30 AM - 11:35 AM,Rm 214 Kenna Hall,Core Explorations :: Social Science,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
SOCI 33-1 - Social Problems in the United States,Sociology,33,1,Open,0/30,Melissa Abad,4,T Th | 2:00 PM - 3:40 PM,Rm 359 Alumni Science Hall,"Core Explorations :: Diversity: US Perspectives

Pathways :: American Studies

Pathways :: Feeding the World

Pathways :: Law and Social Justice

Pathways :: Public Policy

Pathways :: Race, Place and Social Inequalities",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
SOCI 35-1 - Introduction to Research Design and Methods,Sociology,35,1,Open,0/29,Laura Nichols,4,T Th | 8:30 AM - 10:10 AM,Rm 204 O'Connor Hall,Core Explorations :: Social Science,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
SOCI 99-1 - Sociology of Religion,Sociology,99,1,Open,0/35,John Heller | Rick Heller,4,M W F | 10:30 AM - 11:35 AM,Rm 304 Kenna Hall,"Core Explorations :: Religion, Theology and Culture 2

Core Integrations :: Experiential Learning for Social Justice

Pathways :: Values in Science and Technology",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,SOCI 99-/RSOC 99-1
SOCI 118-1 - Qualitative Methods (-),Sociology,118,1,Open,0/30,Patrick Lopez-Aguado,5,T Th | 12:10 PM - 1:50 PM,Rm 207 Daly Science 200,Core Explorations :: Social Science,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
SOCI 120-1 - Survey Research and Statistical Analysis,Sociology,120,1,Open,0/15,Melissa Abad,5,T Th | 10:20 AM - 12:00 PM,Rm 333 O'Connor Hall,"Core Explorations :: Science, Technology and Society

Pathways :: Values in Science and Technology",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
SOCI 121-1 - Research Capstone,Sociology,121,1,Open,0/15,Patrick Lopez-Aguado,5,T Th | 3:50 PM - 5:30 PM,Rm 008 Casa Italiana Residence,"Core Explorations :: Social Science

Core Integrations :: Advanced Writing",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
SOCI 127A-1 - Innovation for the Common Good,Sociology,127A,1,Open,0/21,Laura Robinson,5,M W | 5:25 PM - 7:10 PM,,Core Explorations :: Ethics,Lecture,Online,2026-01-05,2026-03-20,Winter 2026 Quarter,
SOCI 148-1 - Stakeholder Diversity Issues in Contemporary American Organizations (-),Sociology,148,1,Open,0/30,Sheila Yuter,5,M W F | 1:00 PM - 2:05 PM,Rm 310 Kenna Hall,"Core Integrations :: Experiential Learning for Social Justice

Pathways :: Leading People, Organizations and Social Change

Pathways :: Race, Place and Social Inequalities",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
"SOCI 149-1 - Technology, Innovation, and Culture",Sociology,149,1,Open,0/25,Laura Robinson,5,M W | 7:20 PM - 9:10 PM | 01/05/2026 - 03/20/2026,,"Core Explorations :: Science, Technology and Society

Pathways :: Design Thinking

Pathways :: Leading People, Organizations and Social Change

Pathways :: The Digital Age

Pathways :: Values in Science and Technology",Lecture,Online,2026-01-05,2026-03-20,Winter 2026 Quarter,
"SOCI 155-1 - Children, Youth and Society",Sociology,155,1,Open,0/30,Cara Chiaraluce,5,M W F | 11:45 AM - 12:50 PM,Rm 214 Kenna Hall,Core Explorations :: Diversity: US Perspectives,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
SOCI 165-1 - Human Services (-),Sociology,165,1,Open,0/30,Sheila Yuter,5,M W | 3:30 PM - 5:15 PM,Rm 120 Alumni Science Hall,"Core Integrations :: Experiential Learning for Social Justice

Pathways :: Feeding the World

Pathways :: Race, Place and Social Inequalities",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
SOCI 170-1 - Body Politics,Sociology,170,1,Open,0/30,Margaret Hunter,5,M W F | 2:15 PM - 3:20 PM,Rm 359 Alumni Science Hall,"Core Explorations :: Diversity: US Perspectives

Pathways :: Gender, Sexuality and the Body",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
SOCI 175-1 - Race and Inequality,Sociology,175,1,Open,0/30,Mohammad Chaichian,5,T Th | 3:50 PM - 5:30 PM,Rm 361 Alumni Science Hall,"Core Explorations :: Diversity: US Perspectives

Pathways :: American Studies

Pathways :: Race, Place and Social Inequalities",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,SOCI 175-/ETHN 167-1
SOCI 198-1 - Public Sociology (-),Sociology,198,1,Open,0/15,Cara Chiaraluce,5,M W F | 1:00 PM - 2:05 PM,Rm 214 Kenna Hall,Core Explorations :: Civic Engagement,Seminar,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
