Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
ARTS 10-1 - Mindset Scholars Creative Workshop,Studio Art,10,1,Closed,0/0,Takeshi Moro,1,"Sa | 10:00 AM - 1:00 PM | 01/10/2026 - 01/10/2026

Sa | 10:00 AM - 1:00 PM | 02/07/2026 - 02/07/2026

Sa | 10:00 AM - 1:00 PM | 03/07/2026 - 03/07/2026",RM 3301 SCDI,,Workshop,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ARTS 10-2 - Mindset Scholars Creative Workshop,Studio Art,10,2,Closed,0/0,Ryan Carrington,1,"Sa | 10:00 AM - 1:00 PM | 01/10/2026 - 01/10/2026

Sa | 10:00 AM - 1:00 PM | 02/07/2026 - 02/07/2026

Sa | 10:00 AM - 1:00 PM | 03/07/2026 - 03/07/2026",RM 3302 SCDI,,Workshop,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ARTS 30-1 - Basic Drawing (-),Studio Art,30,1,Open,0/22,Emmanuel Aboagye,4,M W | 3:30 PM - 5:50 PM,Rm 314 Edward M. Dowd Art & Art History,"Core Explorations :: Arts

Pathways :: Beauty",Studio,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ARTS 30-3 - Basic Drawing (-),Studio Art,30,3,Open,0/22,Kathryn Kain,4,T Th | 4:30 PM - 6:50 PM,Rm 314 Edward M. Dowd Art & Art History,"Core Explorations :: Arts

Pathways :: Beauty",Studio,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ARTS 32-1 - 2D Fundamentals,Studio Art,32,1,Open,0/22,Emmanuel Aboagye,4,M W | 10:30 AM - 12:50 PM,Rm 314 Edward M. Dowd Art & Art History,"Core Explorations :: Arts

Pathways :: Beauty

Pathways :: Design Thinking",Studio,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ARTS 33-1 - Sculpture Fundamentals,Studio Art,33,1,Open,0/14,Ryan Carrington,4,M W | 10:30 AM - 12:50 PM,Rm 110 Edward M. Dowd Art & Art History,Core Explorations :: Arts,Studio,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ARTS 35-1 - Introduction to Graphic Arts: Printmaking,Studio Art,35,1,Open,0/14,Kathryn Kain,4,T Th | 7:00 PM - 9:20 PM,Rm 310 Edward M. Dowd Art & Art History,"Core Explorations :: Arts

Pathways :: Beauty",Studio,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ARTS 43-1 - Basic Painting (-),Studio Art,43,1,Open,0/22,Emmanuel Aboagye,4,T Th | 8:30 AM - 10:50 AM,Rm 320 Edward M. Dowd Art & Art History,"Core Explorations :: Arts

Pathways :: Beauty",Studio,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ARTS 63-1 - Basic Ceramic Sculpture (-),Studio Art,63,1,Open,0/18,Rachel Ashman,4,M W | 8:00 AM - 10:20 AM,Rm 118 Edward M. Dowd Art & Art History,Core Explorations :: Arts,Studio,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ARTS 63-2 - Basic Ceramic Sculpture (-),Studio Art,63,2,Open,0/18,Francisco Jimenez | Pancho Jimenez,4,T Th | 11:00 AM - 1:20 PM,Rm 118 Edward M. Dowd Art & Art History,Core Explorations :: Arts,Studio,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ARTS 74-1 - Basic Digital Imaging,Studio Art,74,1,Open,0/18,,4,M W | 8:00 AM - 10:20 AM,Rm 304 Edward M. Dowd Art & Art History,"Core Explorations :: Arts

Pathways :: Beauty

Pathways :: Design Thinking

Pathways :: The Digital Age",Studio,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ARTS 74-2 - Basic Digital Imaging,Studio Art,74,2,Waitlist,0/0,Michael Martin,4,M W | 1:00 PM - 3:20 PM,Rm 304 Edward M. Dowd Art & Art History,"Core Explorations :: Arts

Pathways :: Beauty

Pathways :: Design Thinking

Pathways :: The Digital Age",Studio,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ARTS 74-3 - Basic Digital Imaging,Studio Art,74,3,Open,0/18,,4,T Th | 8:30 AM - 10:50 AM,Rm 304 Edward M. Dowd Art & Art History,"Core Explorations :: Arts

Pathways :: Beauty

Pathways :: Design Thinking

Pathways :: The Digital Age",Studio,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ARTS 75-1 - Brand Identity: Basic Graphic Design,Studio Art,75,1,Open,0/20,Qiuwen Li,4,M W | 10:30 AM - 12:50 PM,Rm 302 Edward M. Dowd Art & Art History,"Core Explorations :: Arts

Pathways :: Design Thinking",Studio,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ARTS 100-1 - Studio Art Seminar,Studio Art,100,1,Open,0/20,Renee Billingslea,5,T Th | 4:30 PM - 6:50 PM,Rm 302 Edward M. Dowd Art & Art History,,Seminar,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ARTS 131-1 - Life Drawing (-),Studio Art,131,1,Open,0/17,Ryan Reynolds,5,T Th | 2:00 PM - 4:20 PM,Rm 314 Edward M. Dowd Art & Art History,,Studio,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ARTS 150-1 - Intermediate Film Photography (-),Studio Art,150,1,Open,0/16,Takeshi Moro,5,M W | 10:30 AM - 12:50 PM,Rm 310 Edward M. Dowd Art & Art History,Core Explorations :: Arts,Studio,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ARTS 155-1 - Photography in the Community (-),Studio Art,155,1,Open,0/16,Renee Billingslea,5,T Th | 2:00 PM - 4:20 PM,Rm 310 Edward M. Dowd Art & Art History,"Core Explorations :: Arts

Core Integrations :: Experiential Learning for Social Justice

Pathways :: Design Thinking",Studio,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ARTS 164-1 - Intermediate Sculpture (-),Studio Art,164,1,Open,0/16,Ryan Carrington,5,M W | 1:00 PM - 3:20 PM,Rm 110 Edward M. Dowd Art & Art History,Core Explorations :: Arts,Studio,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ARTS 177-1 - Website Graphic Design,Studio Art,177,1,Open,0/20,Qiuwen Li,5,M W | 1:00 PM - 3:20 PM,Rm 302 Edward M. Dowd Art & Art History,"Pathways :: Design Thinking

Pathways :: The Digital Age",Studio,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ARTS 181-1 - Storyboarding & Narrative Illustration,Studio Art,181,1,Open,0/20,Danielle Heitmuller,5,T Th | 11:00 AM - 1:20 PM,Rm 304 Edward M. Dowd Art & Art History,,Studio,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ARTS 182-1 - Motion Graphics and Visual Effects,Studio Art,182,1,Open,0/20,Danielle Heitmuller,5,T Th | 2:00 PM - 4:20 PM,Rm 304 Edward M. Dowd Art & Art History,,Studio,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
