Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
"TESP 2-1 - Magicians, Athletes and God",Theology Ethics & Spirituality,2,1,Open,0/28,Sally Vance-Trembath,4,T Th | 12:10 PM - 1:50 PM,Rm 216 Kenna Hall,"Core Foundations :: Religion, Theology and Culture 1

Pathways :: Paradigm Shifts and the Nature of Human Knowing",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
TESP 4-1 - The Christian Tradition,Theology Ethics & Spirituality,4,1,Open,0/28,Lynn Hillberg,4,M W F | 8:00 AM - 9:05 AM,Rm 109 Kenna Hall,"Core Foundations :: Religion, Theology and Culture 1",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
TESP 4-2 - The Christian Tradition,Theology Ethics & Spirituality,4,2,Open,0/28,Lynn Hillberg,4,M W F | 9:15 AM - 10:20 AM,Rm 109 Kenna Hall,"Core Foundations :: Religion, Theology and Culture 1",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
TESP 4-3 - The Christian Tradition,Theology Ethics & Spirituality,4,3,Open,0/28,Claudia Moutray,4,M W F | 11:45 AM - 12:50 PM,Rm 310 Kenna Hall,"Core Foundations :: Religion, Theology and Culture 1",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
TESP 4-4 - The Christian Tradition,Theology Ethics & Spirituality,4,4,Open,0/28,Karl Lampley,4,M W F | 1:00 PM - 2:05 PM,Rm 111 Kenna Hall,"Core Foundations :: Religion, Theology and Culture 1",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
TESP 4-5 - The Christian Tradition,Theology Ethics & Spirituality,4,5,Open,0/28,John Heller | Rick Heller,4,M W F | 1:00 PM - 2:05 PM,Rm 102 Alameda hall,"Core Foundations :: Religion, Theology and Culture 1",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
TESP 4-6 - The Christian Tradition,Theology Ethics & Spirituality,4,6,Open,0/28,Diana Gibson,4,M W F | 2:15 PM - 3:20 PM,Rm 111 Kenna Hall,"Core Foundations :: Religion, Theology and Culture 1",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
TESP 4-7 - The Christian Tradition,Theology Ethics & Spirituality,4,7,Open,0/28,Eugene Schlesinger,4,M W | 3:30 PM - 5:15 PM,Rm 310 Kenna Hall,"Core Foundations :: Religion, Theology and Culture 1",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
TESP 4-8 - The Christian Tradition,Theology Ethics & Spirituality,4,8,Open,0/28,Bryson White,4,T Th | 8:30 AM - 10:10 AM,Rm 212 Kenna Hall,"Core Foundations :: Religion, Theology and Culture 1",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
TESP 4-9 - The Christian Tradition,Theology Ethics & Spirituality,4,9,Open,0/28,Nicholas Hayes-Mota,4,T Th | 2:00 PM - 3:40 PM,Rm 108 Alameda hall,"Core Foundations :: Religion, Theology and Culture 1",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
