Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
ACTG 11-1 - Introduction to Financial Accounting (-),Accounting,11,1,Open,0/25,Haidan Li,4,M W F | 9:15 AM - 10:20 AM,Rm 208 Edward M. Dowd Art & Art History,LSB Core :: Undergraduate Business Core,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ACTG 11-2 - Introduction to Financial Accounting (-),Accounting,11,2,Open,0/25,Haidan Li,4,M W F | 10:30 AM - 11:35 AM,Rm 208 Edward M. Dowd Art & Art History,LSB Core :: Undergraduate Business Core,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ACTG 11-3 - Introduction to Financial Accounting (-),Accounting,11,3,Open,0/25,,4,T Th | 8:30 AM - 10:10 AM,Rm 310 Kenna Hall,LSB Core :: Undergraduate Business Core,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ACTG 11-4 - Introduction to Financial Accounting (-),Accounting,11,4,Open,0/25,Christopher Paisley | Chris Paisley,4,T Th | 3:50 PM - 5:30 PM,Rm 207 Lucas Hall,LSB Core :: Undergraduate Business Core,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ACTG 11-5 - Introduction to Financial Accounting (-),Accounting,11,5,Open,0/25,Christine Lebar,4,T Th | 8:30 AM - 10:10 AM,Rm 216 Kenna Hall,LSB Core :: Undergraduate Business Core,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ACTG 11A-1 - Introduction to Financial Accounting,Accounting,11A,1,Open,0/25,Christine Lebar,4,T Th | 10:20 AM - 12:00 PM,Rm 216 Kenna Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ACTG 12-1 - Introduction to Managerial Accounting (-),Accounting,12,1,Open,0/25,Yongtae Kim,4,T Th | 2:00 PM - 3:40 PM,Rm 207 Lucas Hall,LSB Core :: Undergraduate Business Core,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ACTG 12-2 - Introduction to Managerial Accounting (-),Accounting,12,2,Open,0/25,Christine Lebar,4,M W F | 9:15 AM - 10:20 AM,Rm 260 Guadalupe Hall,LSB Core :: Undergraduate Business Core,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ACTG 12-3 - Introduction to Managerial Accounting (-),Accounting,12,3,Open,0/25,Christine Lebar,4,M W F | 10:30 AM - 11:35 AM,Rm 260 Guadalupe Hall,LSB Core :: Undergraduate Business Core,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ACTG 12-4 - Introduction to Managerial Accounting (-),Accounting,12,4,Open,0/25,Wendy Donohoe,4,M W F | 9:15 AM - 10:20 AM,Rm 206 Lucas Hall,LSB Core :: Undergraduate Business Core,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ACTG 12-5 - Introduction to Managerial Accounting (-),Accounting,12,5,Open,0/25,Wendy Donohoe,4,M W F | 10:30 AM - 11:35 AM,Rm 206 Lucas Hall,LSB Core :: Undergraduate Business Core,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ACTG 12-6 - Introduction to Managerial Accounting (-),Accounting,12,6,Open,0/25,Danny Wallace,4,T Th | 12:10 PM - 1:50 PM,Rm 307 Lucas Hall,LSB Core :: Undergraduate Business Core,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ACTG 12-7 - Introduction to Managerial Accounting (-),Accounting,12,7,Open,0/25,Danny Wallace,4,T Th | 2:00 PM - 3:40 PM,Rm 307 Lucas Hall,LSB Core :: Undergraduate Business Core,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ACTG 12-8 - Introduction to Managerial Accounting (-),Accounting,12,8,Open,0/25,Haoning Richter,4,M W | 3:30 PM - 5:15 PM,Rm 104 Kenna Hall,LSB Core :: Undergraduate Business Core,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ACTG 12-9 - Introduction to Managerial Accounting (-),Accounting,12,9,Open,0/25,Haoning Richter,4,M W | 5:25 PM - 7:10 PM,Rm 104 Kenna Hall,LSB Core :: Undergraduate Business Core,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ACTG 12-10 - Introduction to Managerial Accounting (-),Accounting,12,10,Open,0/25,Joseph Maglione | Joe Maglione,4,T Th | 8:30 AM - 10:10 AM,Rm 309 Lucas Hall,LSB Core :: Undergraduate Business Core,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ACTG 12-11 - Introduction to Managerial Accounting (-),Accounting,12,11,Open,0/25,Don Rath,4,T Th | 8:30 AM - 10:10 AM,Rm 209 Lucas Hall,LSB Core :: Undergraduate Business Core,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ACTG 12-12 - Introduction to Managerial Accounting (-),Accounting,12,12,Open,0/25,Steven Draeger,4,T Th | 12:10 PM - 1:50 PM,Rm 102 Kenna Hall,LSB Core :: Undergraduate Business Core,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ACTG 12-13 - Introduction to Managerial Accounting (-),Accounting,12,13,Open,0/25,Sudhindra Kankanwadi | Sujit Kankanwadi,4,T Th | 5:40 PM - 7:20 PM,Rm 102 Alameda hall,LSB Core :: Undergraduate Business Core,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ACTG 130-1 - Intermediate Financial Accounting I (-),Accounting,130,1,Open,0/28,Haidan Li,5,M W F | 1:00 PM - 2:05 PM,Rm 306 Lucas Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ACTG 131-1 - Intermediate Financial Accounting II,Accounting,131,1,Open,0/27,,5,T Th | 8:30 AM - 10:10 AM,RM 1308 SCDI,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ACTG 131-2 - Intermediate Financial Accounting II,Accounting,131,2,Open,0/27,,5,T Th | 10:20 AM - 12:00 PM,RM 1308 SCDI,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ACTG 131-3 - Intermediate Financial Accounting II,Accounting,131,3,Open,0/27,Don Rath,5,T Th | 12:10 PM - 1:50 PM,Rm 218 Kenna Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
