Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
BIOE 12-1 - Human-Centered Design for Memory Care II: Prototyping and User Experience,Bioengineering,12,1,Open,0/15,,2,W | 5:30 PM - 7:30 PM,Rm 232 Vari Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOE 22-1 - Introduction to Cell and Molecular BioEngineering,Bioengineering,22,1,Open,0/28,Biao Lu | Bill Lu,4,M W F | 11:45 AM - 12:50 PM,Rm 214 Bergin Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOE 22L-1 - Introduction to Cell and Molecular BioEngineering Lab,Bioengineering,22L,1,Open,0/14,Biao Lu | Bill Lu,1,T | 2:15 PM - 5:00 PM,RM 3307 SCDI,,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOE 22L-2 - Introduction to Cell and Molecular BioEngineering Lab,Bioengineering,22L,2,Open,0/14,Biao Lu | Bill Lu,1,Th | 3:00 PM - 5:00 PM,RM 3307 SCDI,,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOE 23-1 - Introduction to Bio-Devices,Bioengineering,23,1,Open,0/28,Unyoung Kim,4,M W F | 11:45 AM - 12:50 PM,Rm 359 Alumni Science Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOE 23L-1 - Introduction to Bio-Devices Laboratory,Bioengineering,23L,1,Open,0/14,Unyoung Kim,1,M | 2:15 PM - 5:00 PM,RM 4003 SCDI,,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOE 23L-2 - Introduction to Bio-Devices Laboratory,Bioengineering,23L,2,Open,0/14,Unyoung Kim,1,Th | 5:15 PM - 8:00 PM,RM 4003 SCDI,,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOE 24-1 - Mechanics: Principles and Modeling,Bioengineering,24,1,Open,0/28,Yuling Yan,4,M W F | 10:30 AM - 11:35 AM,Rm 122 Heafey Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOE 25-1 - Introduction to Biomedical Optics,Bioengineering,25,1,Open,0/28,Ismail Araci | Emre Araci,4,T Th | 10:20 AM - 12:00 PM,Rm 308 Kenna Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOE 45-1 - Programming in MATLAB and Python,Bioengineering,45,1,Open,0/35,Hamed Akbari,4,T Th | 12:10 PM - 1:50 PM,Rm 116 Bergin Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOE 45L-1 - Computer Programming in MATLAB and Python Lab,Bioengineering,45L,1,Open,0/15,Hamed Akbari,1,W | 2:15 PM - 5:00 PM,Rm 201 Heafey Hall,,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOE 45L-2 - Computer Programming in MATLAB and Python Lab,Bioengineering,45L,2,Open,0/15,Hamed Akbari,1,Th | 2:15 PM - 5:00 PM,Rm 201 Heafey Hall,,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOE 106-1 - Design Control for Medical Devices,Bioengineering,106,1,Open,0/30,Paul Nauleau,4,M W | 7:25 PM - 9:15 PM,Rm 129 Heafey Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,BIOE 106-/BIOE 206-1
BIOE 111-1 - Intro Healthcare Innovation,Bioengineering,111,1,Open,0/30,Prashanth Asuri,4,T Th | 12:10 PM - 1:50 PM,RM 2302 SCDI,"Core Explorations :: Science, Technology and Society",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOE 130-1 - Immune System for Engineers,Bioengineering,130,1,Open,0/30,Eun Ju Park | Emily Park,4,T Th | 5:40 PM - 7:30 PM,RM 1301 SCDI,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,BIOE 130-/BIOE 230-1
