Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
BUSN 70-1 - Contemporary Business Issues,Business,70,1,Open,0/40,Vlad Alex Ionescu,4,T Th | 8:30 AM - 10:10 AM,Rm 205 O'Connor Hall,LSB Core :: Undergraduate Business Core,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BUSN 70-2 - Contemporary Business Issues,Business,70,2,Open,0/40,Vlad Alex Ionescu,4,T Th | 10:20 AM - 12:00 PM,Rm 205 O'Connor Hall,LSB Core :: Undergraduate Business Core,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BUSN 70-3 - Contemporary Business Issues,Business,70,3,Open,0/40,Shawn Lange,4,T Th | 2:00 PM - 3:40 PM,RM 1308 SCDI,LSB Core :: Undergraduate Business Core,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BUSN 70-4 - Contemporary Business Issues,Business,70,4,Open,0/40,Shawn Lange,4,T Th | 12:10 PM - 1:50 PM,Rm 306 Lucas Hall,LSB Core :: Undergraduate Business Core,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BUSN 85-1 - Business Law,Business,85,1,Open,0/25,Michael Dana | Michael Dana,4,M W F | 10:30 AM - 11:35 AM,Rm 147 Guadalupe Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BUSN 85-2 - Business Law,Business,85,2,Open,0/25,Michael Dana | Michael Dana,4,M W F | 11:45 AM - 12:50 PM,Rm 147 Guadalupe Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BUSN 85-3 - Business Law,Business,85,3,Open,0/25,Michael Dana | Michael Dana,4,M W F | 2:15 PM - 3:20 PM,Rm 201 O'Connor Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BUSN 85-4 - Business Law,Business,85,4,Open,0/25,Michael Dana | Michael Dana,4,M W F | 3:30 PM - 4:35 PM,Rm 201 O'Connor Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BUSN 85-5 - Business Law,Business,85,5,Open,0/25,Marshall Mort,4,T Th | 8:30 AM - 10:10 AM,Rm 101 Alameda hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BUSN 85-6 - Business Law,Business,85,6,Open,0/25,Marshall Mort,4,T Th | 10:20 AM - 12:00 PM,Rm 101 Alameda hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BUSN 85-7 - Business Law,Business,85,7,Open,0/25,Arthur Casey,4,T Th | 12:10 PM - 1:50 PM,Rm 205 O'Connor Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BUSN 85-8 - Business Law,Business,85,8,Open,0/25,Arthur Casey,4,T Th | 2:00 PM - 3:40 PM,Rm 205 O'Connor Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BUSN 150-1 - Feeding The World,Business,150,1,Open,0/25,Erica Riel-Carden,5,T Th | 12:10 PM - 1:50 PM,,"Core Explorations :: Science, Technology and Society

Pathways :: Feeding the World

Pathways :: Sustainability",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BUSN 179-1 - Effective Communication in Business,Business,179,1,Open,0/16,Reginald Duhe,5,M W F | 9:15 AM - 10:20 AM,Rm 231 Aloysius Varsi Hall,Core Integrations :: Advanced Writing,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BUSN 179-2 - Effective Communication in Business,Business,179,2,Open,0/16,Reginald Duhe,5,M W F | 10:30 AM - 11:35 AM,Rm 231 Aloysius Varsi Hall,Core Integrations :: Advanced Writing,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BUSN 179-3 - Effective Communication in Business,Business,179,3,Open,0/16,Bhavna Sharma,5,M W F | 11:45 AM - 12:50 PM,Rm 114 Aloysius Varsi Hall,Core Integrations :: Advanced Writing,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BUSN 179-4 - Effective Communication in Business,Business,179,4,Open,0/16,Reginald Duhe,5,M W F | 1:00 PM - 2:05 PM,Rm 231 Aloysius Varsi Hall,Core Integrations :: Advanced Writing,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BUSN 179-5 - Effective Communication in Business,Business,179,5,Open,0/16,Michael Aquilina,5,T Th | 10:20 AM - 12:00 PM,Rm 209 Lucas Hall,Core Integrations :: Advanced Writing,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BUSN 179-6 - Effective Communication in Business,Business,179,6,Open,0/16,Brett Yokom,5,T Th | 12:10 PM - 1:50 PM,Rm 210 O'Connor Hall,Core Integrations :: Advanced Writing,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BUSN 179-7 - Effective Communication in Business,Business,179,7,Open,0/16,Brett Yokom,5,T Th | 2:00 PM - 3:40 PM,Rm 210 O'Connor Hall,Core Integrations :: Advanced Writing,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BUSN 179-8 - Effective Communication in Business,Business,179,8,Open,0/16,Michael Dam,5,T Th | 3:50 PM - 5:30 PM,Rm 309 Lucas Hall,Core Integrations :: Advanced Writing,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BUSN 179-9 - Effective Communication in Business,Business,179,9,Open,0/16,Brett Yokom,5,T Th | 5:40 PM - 7:20 PM,Rm 231 Mayer Theatre,Core Integrations :: Advanced Writing,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
