Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
CHEM 11-1 - General Chemistry I L and L (-),Chemistry,11,1,Open,0/40,Amy Shachter,5,T Th | 8:30 AM - 10:10 AM,RM 3302 SCDI,"Core Explorations :: Natural Science

Pathways :: Values in Science and Technology",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CHEM 11-2 - General Chemistry I L and L (-),Chemistry,11,2,Open,0/40,,5,M W F | 9:15 AM - 10:20 AM,RM 3116 SCDI,"Core Explorations :: Natural Science

Pathways :: Values in Science and Technology",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CHEM 11-3 - General Chemistry I L and L (-),Chemistry,11,3,Open,0/40,,5,M W F | 10:30 AM - 11:35 AM,RM 3115 SCDI,"Core Explorations :: Natural Science

Pathways :: Values in Science and Technology",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CHEM 11-4 - General Chemistry I L and L (-),Chemistry,11,4,Open,0/20,,5,T | 8:20 AM - 11:10 AM,RM 1311 SCDI,"Core Explorations :: Natural Science

Pathways :: Values in Science and Technology",Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CHEM 11-5 - General Chemistry I L and L (-),Chemistry,11,5,Open,0/20,,5,W | 2:15 PM - 5:05 PM,RM 1311 SCDI,"Core Explorations :: Natural Science

Pathways :: Values in Science and Technology",Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CHEM 11-6 - General Chemistry I L and L (-),Chemistry,11,6,Open,0/20,,5,W | 5:30 PM - 8:20 PM,RM 1311 SCDI,"Core Explorations :: Natural Science

Pathways :: Values in Science and Technology",Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CHEM 11-7 - General Chemistry I L and L (-),Chemistry,11,7,Open,0/20,,5,Th | 12:10 PM - 3:00 PM,RM 1311 SCDI,"Core Explorations :: Natural Science

Pathways :: Values in Science and Technology",Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CHEM 11-8 - General Chemistry I L and L (-),Chemistry,11,8,Open,0/20,,5,Th | 3:20 PM - 6:10 PM,RM 1311 SCDI,"Core Explorations :: Natural Science

Pathways :: Values in Science and Technology",Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CHEM 11-9 - General Chemistry I L and L (-),Chemistry,11,9,Open,0/20,,5,F | 2:15 PM - 5:05 PM,RM 1311 SCDI,"Core Explorations :: Natural Science

Pathways :: Values in Science and Technology",Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CHEM 12-1 - General Chemistry II L and L,Chemistry,12,1,Open,0/40,Hoda Mirafzal,5,T Th | 8:30 AM - 10:10 AM,RM 3116 SCDI,Core Explorations :: Natural Science,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CHEM 12-2 - General Chemistry II L and L,Chemistry,12,2,Open,0/40,Linda Brunauer,5,M W F | 9:15 AM - 10:20 AM,Rm 120 Alumni Science Hall,Core Explorations :: Natural Science,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CHEM 12-3 - General Chemistry II L and L,Chemistry,12,3,Open,0/40,Hoda Mirafzal,5,T Th | 10:20 AM - 12:00 PM,RM 3116 SCDI,Core Explorations :: Natural Science,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CHEM 12-4 - General Chemistry II L and L,Chemistry,12,4,Open,0/40,Grace Stokes,5,M W F | 11:45 AM - 12:50 PM,RM 3115 SCDI,Core Explorations :: Natural Science,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
