Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
CHST 3-1 - Child Studies,Child Studies,3,1,Open,0/35,Elizabeth Day,4,M W F | 8:00 AM - 9:05 AM,Rm 164 Graham Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CHST 4-1 - Cultural Competence and Humility with Children and Families,Child Studies,4,1,Open,0/35,Brita Bookser,4,T Th | 2:00 PM - 3:40 PM,RM 3116 SCDI,"Core Explorations :: Civic Engagement

Core Explorations :: Diversity: US Perspectives

Pathways :: Democracy",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CHST 11-1 - Quantitative Research Methods and Statistics,Child Studies,11,1,Open,0/22,Brita Bookser,4,T Th | 3:50 PM - 5:30 PM,RM 3301 SCDI,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CHST 12-1 - Qualitative Research Methods in Child Studies,Child Studies,12,1,Open,0/22,Omar Davila | Omar Davila,4,T Th | 12:10 PM - 1:50 PM,Rm 201 O'Connor Hall,"Pathways :: Race, Place and Social Inequalities",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
"CHST 75-1 - Science, Technology and Educational Innovation",Child Studies,75,1,Open,0/35,Elizabeth Day,4,M W F | 9:15 AM - 10:20 AM,Rm 164 Graham Hall,"Core Explorations :: Science, Technology and Society

Pathways :: Children, Family and Society

Pathways :: Design Thinking

Pathways :: The Digital Age

Pathways :: Values in Science and Technology",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CHST 104-1 - Advocacy for Children,Child Studies,104,1,Open,0/30,Eric Handy,5,M W F | 3:30 PM - 4:35 PM,Rm 164 Graham Hall,"Pathways :: Children, Family and Society",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CHST 106-1 - Urban Education and Multiculturalism,Child Studies,106,1,Open,0/30,Eric Handy,5,M W F | 4:45 PM - 5:50 PM,Rm 164 Graham Hall,"Core Explorations :: Diversity: US Perspectives

Core Integrations :: Experiential Learning for Social Justice

Pathways :: Children, Family and Society

Pathways :: Race, Place and Social Inequalities

Pathways :: Sustainability",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,CHST 106-/ETHN 150-1
CHST 180-1 - Internship in Child Studies,Child Studies,180,1,Open,0/22,Elizabeth Day,5,M W F | 11:45 AM - 12:50 PM,Rm 164 Graham Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CHST 182-1 - Senior Capstone 2,Child Studies,182,1,Open,0/28,Brett Solomon,5,T Th | 8:30 AM - 10:10 AM,Rm 310 Alumni Science Hall,,Research,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CHST 196-1 - Future Teachers Project Seminar,Child Studies,196,1,Open,0/20,Omar Davila | Omar Davila,1,T | 4:45 PM - 5:45 PM,Rm 204 O'Connor Hall,,Seminar,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
