Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
CENG 15-1 - Computer Applications in Civil Engineering (-),"Civil, Envr & Sust Engineering",15,1,Open,0/30,Laura Doyle,3,T Th | 8:30 AM - 10:10 AM,RM 2301 SCDI,Pathways :: The Digital Age,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CENG 15-2 - Computer Applications in Civil Engineering (-),"Civil, Envr & Sust Engineering",15,2,Open,0/30,Laura Doyle,3,T Th | 10:20 AM - 12:00 PM,RM 2301 SCDI,Pathways :: The Digital Age,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CENG 15L-1 - Computer Applications in Civil Engineering Lab,"Civil, Envr & Sust Engineering",15L,1,Open,0/20,Hayoon Chung,1,T | 2:10 PM - 4:00 PM,Rm 206 Daly Science 200,,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CENG 15L-2 - Computer Applications in Civil Engineering Lab,"Civil, Envr & Sust Engineering",15L,2,Open,0/20,Hayoon Chung,1,Th | 2:10 PM - 4:00 PM,Rm 225 Heafey Hall,,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CENG 15L-3 - Computer Applications in Civil Engineering Lab,"Civil, Envr & Sust Engineering",15L,3,Open,0/20,Hayoon Chung,1,T | 4:10 PM - 6:00 PM,Rm 206 Daly Science 200,,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CENG 41-1 - Mechanics I: Statics (-),"Civil, Envr & Sust Engineering",41,1,Open,0/38,Yingqing Qiu,4,M W F | 11:45 AM - 12:50 PM,RM 3116 SCDI,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CENG 43-1 - Mechanics III: Strength of Materials (-),"Civil, Envr & Sust Engineering",43,1,Open,0/38,Mohaddeseh Peyro,4,M W F | 8:00 AM - 9:05 AM,RM 3302 SCDI,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CENG 43-2 - Mechanics III: Strength of Materials (-),"Civil, Envr & Sust Engineering",43,2,Open,0/38,Yingqing Qiu,4,T Th | 12:10 PM - 1:50 PM,RM 3302 SCDI,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CENG 43L-1 - Mechanics III: Strength of Materials Lab,"Civil, Envr & Sust Engineering",43L,1,Open,0/20,,1,T | 2:10 PM - 4:00 PM,RM 1321 SCDI,,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CENG 43L-2 - Mechanics III: Strength of Materials Lab,"Civil, Envr & Sust Engineering",43L,2,Open,0/20,,1,T | 4:10 PM - 6:00 PM,RM 1321 SCDI,,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CENG 43L-3 - Mechanics III: Strength of Materials Lab,"Civil, Envr & Sust Engineering",43L,3,Open,0/20,,1,Th | 2:10 PM - 4:00 PM,RM 1321 SCDI,,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CENG 43L-4 - Mechanics III: Strength of Materials Lab,"Civil, Envr & Sust Engineering",43L,4,Open,0/20,,1,Th | 4:10 PM - 6:00 PM,RM 1321 SCDI,,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CENG 43L-5 - Mechanics III: Strength of Materials Lab,"Civil, Envr & Sust Engineering",43L,5,Open,0/20,,1,W | 2:10 PM - 4:00 PM,RM 1321 SCDI,,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CENG 43L-6 - Mechanics III: Strength of Materials Lab,"Civil, Envr & Sust Engineering",43L,6,Open,0/20,,1,W | 4:10 PM - 6:00 PM,RM 1321 SCDI,,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CENG 44-1 - Strength of Materials for Civil Engineers,"Civil, Envr & Sust Engineering",44,1,Open,0/32,Mohaddeseh Peyro,4,M W F | 9:15 AM - 10:20 AM,RM 3302 SCDI,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CENG 44-2 - Strength of Materials for Civil Engineers,"Civil, Envr & Sust Engineering",44,2,Open,0/32,Mohaddeseh Peyro,4,M W F | 10:30 AM - 11:35 AM,RM 3302 SCDI,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CENG 116-1 - Advanced Concrete and Aggregates,"Civil, Envr & Sust Engineering",116,1,Open,0/20,Vito Francioso,3,T Th | 10:20 AM - 12:00 PM,RM 1322 SCDI,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,CENG 116-/CENG 216-1
CENG 119-1 - Designing for Sustainable Construction,"Civil, Envr & Sust Engineering",119,1,Open,0/40,Andy Schatzman,3,T | 5:40 PM - 8:30 PM,RM 3115 SCDI,"Pathways :: Design Thinking

Pathways :: Sustainability

Pathways :: Values in Science and Technology",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,CENG 119-/CENG 219-1
CENG 121-1 - Geotechnical Engineering (-),"Civil, Envr & Sust Engineering",121,1,Open,0/48,Sukhmander Singh,4,T Th | 8:30 AM - 10:10 AM,RM 3115 SCDI,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CENG 121L-1 - Geotechnical Engineering Lab,"Civil, Envr & Sust Engineering",121L,1,Open,0/24,Sukhmander Singh,1,T | 2:15 PM - 5:00 PM,RM 1322 SCDI,,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
