Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
COMM 1-1 - Communication in Everyday Life (-),Communication,1,1,Open,0/35,Ryan Lescure,4,T Th | 12:10 PM - 1:50 PM,Rm 133 Vari Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
COMM 1-2 - Communication in Everyday Life (-),Communication,1,2,Open,0/35,Ari Perez Montes,4,M W F | 11:45 AM - 12:50 PM,Rm 133 Vari Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
COMM 2-1 - Public Speaking (-),Communication,2,1,Open,0/22,Andrew Ishak,4,T Th | 10:20 AM - 12:00 PM,Rm 128 Vari Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
COMM 2-2 - Public Speaking (-),Communication,2,2,Open,0/22,Ari Perez Montes,4,M W F | 9:15 AM - 10:20 AM,Rm 129 Vari Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
COMM 2-3 - Public Speaking (-),Communication,2,3,Open,0/22,. Sunwolf,4,M W F | 10:30 AM - 11:35 AM,Rm 134 Vari Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
COMM 3-1 - Digital Storytelling,Communication,3,1,Open,0/32,Emily Reese,4,T Th | 10:20 AM - 12:00 PM,Rm 107 Kenna Hall,"Pathways :: Cinema Studies

Pathways :: The Digital Age",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
COMM 3-2 - Digital Storytelling,Communication,3,2,Open,0/32,Charlotta Kratz,4,T Th | 3:50 PM - 5:30 PM,Rm 107 Kenna Hall,"Pathways :: Cinema Studies

Pathways :: The Digital Age",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
COMM 4-1 - Approaches to Communication Research,Communication,4,1,Open,0/32,Jennifer Braddock,4,M W F | 10:30 AM - 11:35 AM,Rm 359 Alumni Science Hall,Core Explorations :: Social Science,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
COMM 4-2 - Approaches to Communication Research,Communication,4,2,Open,0/32,Jennifer Braddock,4,M W F | 11:45 AM - 12:50 PM,RM 3302 SCDI,Core Explorations :: Social Science,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
COMM 10-1 - Interpersonal Communication,Communication,10,1,Open,0/35,Hsin-I Cheng,4,M W F | 1:00 PM - 2:05 PM,Rm 133 Vari Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
COMM 12-1 - Technology and Communication (-),Communication,12,1,Open,0/32,Jennifer Braddock,4,M W F | 8:00 AM - 9:05 AM,Rm 107 Kenna Hall,"Core Explorations :: Science, Technology and Society

Pathways :: Design Thinking

Pathways :: The Digital Age

Pathways :: Values in Science and Technology",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
COMM 30-1 - Digital Filmmaking,Communication,30,1,Open,0/24,Emily Reese,5,T Th | 2:00 PM - 3:40 PM,Rm 109 Vari Hall,"Core Explorations :: Arts

Pathways :: Cinema Studies",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
