Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
CSCI 10-1 - Introduction to Computer Science,Computer Science,10,1,Open,0/33,Venkatesh Srinivasan,5,M W F | 8:00 AM - 9:05 AM,Rm 306 Kenna Hall,"Core Explorations :: Science, Technology and Society

Pathways :: Design Thinking

Pathways :: Paradigm Shifts and the Nature of Human Knowing

Pathways :: The Digital Age

Pathways :: Values in Science and Technology",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CSCI 10-2 - Introduction to Computer Science,Computer Science,10,2,Open,0/33,Venkatesh Srinivasan,5,M W F | 9:15 AM - 10:20 AM,Rm 306 Kenna Hall,"Core Explorations :: Science, Technology and Society

Pathways :: Design Thinking

Pathways :: Paradigm Shifts and the Nature of Human Knowing

Pathways :: The Digital Age

Pathways :: Values in Science and Technology",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CSCI 10-3 - Introduction to Computer Science,Computer Science,10,3,Open,0/80,Natalie Linnell,5,Th | 3:50 PM - 5:30 PM,Rm 207 Daly Science 200,"Core Explorations :: Science, Technology and Society

Pathways :: Design Thinking

Pathways :: Paradigm Shifts and the Nature of Human Knowing

Pathways :: The Digital Age

Pathways :: Values in Science and Technology",Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CSCI 10-4 - Introduction to Computer Science,Computer Science,10,4,Closed,0/0,Natalie Linnell,5,,,"Core Explorations :: Science, Technology and Society

Pathways :: Design Thinking

Pathways :: Paradigm Shifts and the Nature of Human Knowing

Pathways :: The Digital Age

Pathways :: Values in Science and Technology",Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CSCI 60-1 - Introduction to C++ and Object-Oriented Programming,Computer Science,60,1,Open,0/35,Tiantian Chen,5,M W F | 2:15 PM - 3:20 PM,Rm 204 O'Connor Hall,Pathways :: The Digital Age,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CSCI 60-2 - Introduction to C++ and Object-Oriented Programming,Computer Science,60,2,Open,0/37,Sara Krehbiel,5,M W F | 1:00 PM - 2:05 PM,Rm 361 Alumni Science Hall,Pathways :: The Digital Age,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CSCI 60-3 - Introduction to C++ and Object-Oriented Programming,Computer Science,60,3,Open,0/80,Natalie Linnell,5,Th | 5:40 PM - 7:20 PM,Rm 207 Daly Science 200,Pathways :: The Digital Age,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CSCI 60-4 - Introduction to C++ and Object-Oriented Programming,Computer Science,60,4,Closed,0/0,Natalie Linnell,5,,,Pathways :: The Digital Age,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CSCI 61-1 - Data Structures,Computer Science,61,1,Open,0/37,Smita Ghosh,4,M W F | 10:30 AM - 11:35 AM,Rm 306 Kenna Hall,Pathways :: The Digital Age,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CSCI 61-2 - Data Structures,Computer Science,61,2,Open,0/35,Hien Vu,4,M W F | 8:00 AM - 9:05 AM,Rm 204 O'Connor Hall,Pathways :: The Digital Age,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
