Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
DANC 29-1 - Rehearsal and Performance (Images 2026),Dance,29,1,Open,0/30,Kristin Kusanovich,2,,,,Experiential,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,DANC 29-/DANC 129-1
DANC 39-1 - Hip Hop,Dance,39,1,Open,0/30,,2,T Th | 3:50 PM - 5:30 PM,Rm 124 Music And Dance - Studio A,,Studio,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
DANC 41-1 - Jazz Dance II,Dance,41,1,Open,0/30,Pauline Kanter,2,M W F | 10:30 AM - 11:35 AM,Rm 124 Music And Dance - Studio A,Core Explorations :: Arts,Studio,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
DANC 43-1 - Ballet I,Dance,43,1,Open,0/30,Karyn Connell,2,M W F | 1:00 PM - 2:05 PM,Rm 124 Music And Dance - Studio A,Core Explorations :: Arts,Studio,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
DANC 46-1 - Modern/Contemporary Dance I,Dance,46,1,Open,0/30,Kristin Kusanovich,2,M W F | 11:45 AM - 12:50 PM,Rm 124 Music And Dance - Studio A,Core Explorations :: Arts,Studio,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
DANC 48-1 - Modern/Contemporary Dance III,Dance,48,1,Open,0/30,Kristin Kusanovich,4,M W F | 9:15 AM - 10:20 AM,Rm 124 Music And Dance - Studio A,Core Explorations :: Arts,Studio,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
DANC 55-1 - Musical Theatre Dance Styles- Tap,Dance,55,1,Open,0/25,Pauline Kanter,4,T Th | 10:20 AM - 12:00 PM,Rm 124 Music And Dance - Studio A,Core Explorations :: Arts,Studio,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,DANC 55-/DANC 155-1
DANC 56-1 - Pilates Private Instruction,Dance,56,1,Open,0/10,Karyn Connell,1,,,,Studio,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,DANC 56-/DANC 156-1
DANC 58-1 - Pilates Mat Class,Dance,58,1,Open,0/10,Karyn Connell,2,M W F | 10:30 AM - 11:35 AM,Rm 125 Music And Dance - Studio B,,Studio,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,DANC 58-/DANC 158-1
DANC 59-1 - Teaching the Performing Arts,Dance,59,1,Open,0/24,Kristin Kusanovich,4,M W F | 2:15 PM - 3:20 PM,Rm 226 Mayer Theatre - Rehearsal Hall,"Core Explorations :: Arts

Core Explorations :: Civic Engagement

Core Integrations :: Experiential Learning for Social Justice

Pathways :: Children, Family and Society

Pathways :: Justice and the Arts",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,DANC 59-/DANC 159-1
DANC 67-1 - Dance History,Dance,67,1,Open,0/20,David Popalisky,4,M W F | 3:30 PM - 4:35 PM,Rm 301 Mayer Theatre - Library,Core Integrations :: Advanced Writing,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
DANC 129-1 - Rehearsal and Performance (Images 2026),Dance,129,1,Open,0/30,Kristin Kusanovich,2,,,,Experiential,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,DANC 129-/DANC 29-1
DANC 140-1 - Ballet IV,Dance,140,1,Open,0/30,Karyn Connell,5,T Th | 2:00 PM - 3:40 PM,Rm 124 Music And Dance - Studio A,Core Explorations :: Arts,Studio,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
DANC 155-1 - Musical Theatre Dance Styles - Tap,Dance,155,1,Open,0/25,Pauline Kanter,5,T Th | 10:20 AM - 12:00 PM,Rm 124 Music And Dance - Studio A,Core Explorations :: Arts,Studio,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,DANC 155-/DANC 55-1
DANC 156-1 - Pilates Private Instruction,Dance,156,1,Open,0/10,Karyn Connell,1,,,,Studio,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,DANC 156-/DANC 56-1
DANC 158-1 - Pilates Mat Class,Dance,158,1,Open,0/10,Karyn Connell,2,M W F | 10:30 AM - 11:35 AM,Rm 125 Music And Dance - Studio B,,Studio,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,DANC 158-/DANC 58-1
DANC 159-1 - Teaching the Performing Arts,Dance,159,1,Open,0/24,Kristin Kusanovich,5,M W F | 2:15 PM - 3:20 PM,Rm 226 Mayer Theatre - Rehearsal Hall,"Core Explorations :: Arts

Core Explorations :: Civic Engagement

Core Integrations :: Experiential Learning for Social Justice

Pathways :: Children, Family and Society

Pathways :: Justice and the Arts",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,DANC 159-/DANC 59-1
