Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
ENGR 1-1 - Introduction to Engineering,Engineering,1,1,Open,0/40,Manizheh Zand,1,T | 12:10 PM - 1:15 PM,RM 3115 SCDI,"Core Explorations :: Science, Technology and Society

Pathways :: Sustainability",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ENGR 1-2 - Introduction to Engineering,Engineering,1,2,Open,0/40,Manizheh Zand,1,W | 11:45 AM - 12:50 PM,RM 2302 SCDI,"Core Explorations :: Science, Technology and Society

Pathways :: Sustainability",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ENGR 1-3 - Introduction to Engineering,Engineering,1,3,Open,0/40,Raghavendra Morusupalli | Rao Morusupalli,1,Th | 12:10 PM - 1:15 PM,RM 3115 SCDI,"Core Explorations :: Science, Technology and Society

Pathways :: Sustainability",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ENGR 1-4 - Introduction to Engineering,Engineering,1,4,Open,0/40,Manizheh Zand,1,F | 11:45 AM - 12:50 PM,RM 2302 SCDI,"Core Explorations :: Science, Technology and Society

Pathways :: Sustainability",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ENGR 1L-1 - Introduction to Engineering Lab,Engineering,1L,1,Open,0/18,Manizheh Zand,1,T | 9:15 AM - 12:00 PM,RM 2302 SCDI,Pathways :: Sustainability,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,ENGR 1L-/ENGR 1L-2
ENGR 1L-2 - Introduction to Engineering Lab,Engineering,1L,2,Open,0/18,Manizheh Zand,1,T | 9:15 AM - 12:00 PM,RM 2302 SCDI,Pathways :: Sustainability,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,ENGR 1L-/ENGR 1L-1
ENGR 1L-3 - Introduction to Engineering Lab,Engineering,1L,3,Open,0/18,Manizheh Zand,1,T | 2:15 PM - 5:00 PM,RM 2302 SCDI,Pathways :: Sustainability,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,ENGR 1L-/ENGR 1L-4
ENGR 1L-4 - Introduction to Engineering Lab,Engineering,1L,4,Open,0/18,Manizheh Zand,1,T | 2:15 PM - 5:00 PM,RM 2302 SCDI,Pathways :: Sustainability,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,ENGR 1L-/ENGR 1L-3
ENGR 1L-5 - Introduction to Engineering Lab,Engineering,1L,5,Open,0/18,Manizheh Zand,1,F | 2:15 PM - 5:00 PM,RM 2302 SCDI,Pathways :: Sustainability,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,ENGR 1L-/ENGR 1L-6
ENGR 1L-6 - Introduction to Engineering Lab,Engineering,1L,6,Open,0/18,Manizheh Zand,1,F | 2:15 PM - 5:00 PM,RM 2302 SCDI,Pathways :: Sustainability,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,ENGR 1L-/ENGR 1L-5
ENGR 1L-7 - Introduction to Engineering Lab,Engineering,1L,7,Open,0/18,Raghavendra Morusupalli | Rao Morusupalli,1,Th | 2:15 PM - 5:00 PM,RM 2302 SCDI,Pathways :: Sustainability,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,ENGR 1L-/ENGR 1L-8
ENGR 1L-8 - Introduction to Engineering Lab,Engineering,1L,8,Open,0/18,Raghavendra Morusupalli | Rao Morusupalli,1,Th | 2:15 PM - 5:00 PM,RM 2302 SCDI,Pathways :: Sustainability,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,ENGR 1L-/ENGR 1L-7
ENGR 2-1 - Introduction to Engineering Design and Prototyping,Engineering,2,1,Waitlist,0/0,Jiayi Wang,2,W | 2:15 PM - 5:00 PM,,,Studio,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
"ENGR 12A-1 - Cultures and Ideas II (Culture, Tech, and the Common Good)",Engineering,12A,1,Closed,23/0,Melissa Cefkin,4,M W F | 11:45 AM - 12:50 PM,Rm 125 Heafey Hall,Core Foundations :: Cultures and Ideas 2,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
"ENGR 12A-2 - Cultures and Ideas II (Culture, Tech, and the Common Good)",Engineering,12A,2,Closed,25/0,Melissa Cefkin,4,M W F | 1:00 PM - 2:05 PM,Rm 125 Heafey Hall,Core Foundations :: Cultures and Ideas 2,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ENGR 16-1 - Values in Technology,Engineering,16,1,Open,0/24,Aaron Willis | Aaron Willis,4,M W F | 8:00 AM - 9:05 AM,Rm 103 Alameda hall,"Core Foundations :: Religion, Theology and Culture 1",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ENGR 19-1 - Ethics in Technology,Engineering,19,1,Open,0/48,Kresten Froistad-Martin,4,M | 3:30 PM - 5:10 PM,RM 2302 SCDI,"Core Explorations :: Ethics

Pathways :: Design Thinking

Pathways :: The Digital Age",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ENGR 19-2 - Ethics in Technology,Engineering,19,2,Open,0/24,Kresten Froistad-Martin,4,W | 3:30 PM - 5:10 PM,RM 1301 SCDI,"Core Explorations :: Ethics

Pathways :: Design Thinking

Pathways :: The Digital Age",Discussion,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
