Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
ENGL 2A-1 - Critical Thinking and Writing II (-),English,2A,1,Closed,19/19,Melissa Donegan,4,M W F | 1:00 PM - 2:05 PM,Rm 210 O'Connor Hall,Core Foundations :: Critical Thinking and Writing 2,Lecture,In-Person,2026-03-30,2026-06-11,Spring 2026 Quarter,
ENGL 2A-2 - Critical Thinking and Writing II (-),English,2A,2,Closed,19/19,Olivier Bochettaz,4,M W F | 11:45 AM - 12:50 PM,Rm 110 O'Connor Hall,Core Foundations :: Critical Thinking and Writing 2,Lecture,In-Person,2026-03-30,2026-06-11,Spring 2026 Quarter,
ENGL 2A-3 - Critical Thinking and Writing II (-),English,2A,3,Open,15/19,Stephen Carroll,4,T Th | 10:20 AM - 12:00 PM,Rm 205 O'Connor Hall,Core Foundations :: Critical Thinking and Writing 2,Lecture,In-Person,2026-03-30,2026-06-11,Spring 2026 Quarter,
ENGL 2A-4 - Critical Thinking and Writing II (-),English,2A,4,Open,16/19,Theresa Conefrey,4,T | 3:50 PM - 6:50 PM,Rm 110 O'Connor Hall,Core Foundations :: Critical Thinking and Writing 2,Lecture,In-Person,2026-03-30,2026-06-11,Spring 2026 Quarter,
ENGL 2A-5 - Critical Thinking and Writing II (-),English,2A,5,Open,18/19,Mostafa Jalal,4,M W F | 1:00 PM - 2:05 PM,RM 3301 SCDI,Core Foundations :: Critical Thinking and Writing 2,Lecture,In-Person,2026-03-30,2026-06-11,Spring 2026 Quarter,
ENGL 2A-6 - Critical Thinking and Writing II (-),English,2A,6,Open,18/19,Matthew Driscoll | Matt Driscoll,4,T Th | 12:10 PM - 1:50 PM,Rm 308 Kenna Hall,Core Foundations :: Critical Thinking and Writing 2,Lecture,In-Person,2026-03-30,2026-06-11,Spring 2026 Quarter,
ENGL 2A-7 - Critical Thinking and Writing II (-),English,2A,7,Closed,19/19,David Keaton,4,T Th | 3:50 PM - 5:30 PM,Rm 210 O'Connor Hall,Core Foundations :: Critical Thinking and Writing 2,Lecture,In-Person,2026-03-30,2026-06-11,Spring 2026 Quarter,
ENGL 2A-8 - Critical Thinking and Writing II (-),English,2A,8,Closed,19/19,Jean-Pierre Lacrampe,4,T Th | 12:10 PM - 1:50 PM,Rm 110 O'Connor Hall,Core Foundations :: Critical Thinking and Writing 2,Lecture,In-Person,2026-03-30,2026-06-11,Spring 2026 Quarter,
ENGL 2A-9 - Critical Thinking and Writing II (-),English,2A,9,Open,17/19,,4,T Th | 12:10 PM - 1:50 PM,Rm 210 O'Connor Hall,Core Foundations :: Critical Thinking and Writing 2,Lecture,In-Person,2026-03-30,2026-06-11,Spring 2026 Quarter,
ENGL 2A-10 - Critical Thinking and Writing II (-),English,2A,10,Closed,19/19,Michael Lasley,4,M W F | 10:30 AM - 11:35 AM,Rm 210 O'Connor Hall,Core Foundations :: Critical Thinking and Writing 2,Lecture,In-Person,2026-03-30,2026-06-11,Spring 2026 Quarter,
ENGL 2A-11 - Critical Thinking and Writing II (-),English,2A,11,Open,17/19,Mostafa Jalal,4,M W F | 8:00 AM - 9:05 AM,Rm 114 Aloysius Varsi Hall,Core Foundations :: Critical Thinking and Writing 2,Lecture,In-Person,2026-03-30,2026-06-11,Spring 2026 Quarter,
ENGL 2A-12 - Critical Thinking and Writing II (-),English,2A,12,Closed,19/19,Scott Wagar,4,M W F | 11:45 AM - 12:50 PM,Rm 104 O'Connor Hall,Core Foundations :: Critical Thinking and Writing 2,Lecture,In-Person,2026-03-30,2026-06-11,Spring 2026 Quarter,
ENGL 2A-13 - Critical Thinking and Writing II (-),English,2A,13,Closed,19/19,Caleb Gonzalez,4,M W F | 3:30 PM - 4:35 PM,Rm 110 O'Connor Hall,Core Foundations :: Critical Thinking and Writing 2,Lecture,In-Person,2026-03-30,2026-06-11,Spring 2026 Quarter,
ENGL 2A-14 - Critical Thinking and Writing II (-),English,2A,14,Open,18/19,Leonard Crosby,4,M W F | 3:30 PM - 4:35 PM,Rm 304 Kenna Hall,Core Foundations :: Critical Thinking and Writing 2,Lecture,In-Person,2026-03-30,2026-06-11,Spring 2026 Quarter,
ENGL 2A-15 - Critical Thinking and Writing II (-),English,2A,15,Closed,19/19,Nicholas Leither,4,M W | 5:25 PM - 7:10 PM,Rm 104 Alameda hall,Core Foundations :: Critical Thinking and Writing 2,Lecture,In-Person,2026-03-30,2026-06-11,Spring 2026 Quarter,
