Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
EMBA 903-1 - Analytics,Executive MBA,903,1,Open,0/30,Ram Bala,6,"F | 2:00 PM - 9:00 PM | 01/09/2026 - 01/09/2026

F | 2:00 PM - 9:00 PM | 02/06/2026 - 02/06/2026

F | 2:00 PM - 9:00 PM | 03/06/2026 - 03/06/2026

F | 5:00 PM - 9:00 PM | 03/20/2026 - 03/20/2026

F | 5:00 PM - 9:30 PM | 01/23/2026 - 01/23/2026

F | 5:00 PM - 9:30 PM | 02/20/2026 - 02/20/2026

Sa | 9:00 AM - 1:00 PM | 01/10/2026 - 01/10/2026

Sa | 9:00 AM - 1:00 PM | 02/07/2026 - 02/07/2026

Sa | 9:00 AM - 1:00 PM | 03/07/2026 - 03/07/2026

Sa | 9:00 AM - 12:00 PM | 01/24/2026 - 01/24/2026

Sa | 9:00 AM - 12:00 PM | 02/21/2026 - 02/21/2026",Rm 107 Lucas Hall,,Seminar,In-Person,2026-01-09,2026-03-20,Winter 2026 Quarter,
EMBA 904-1 - Macroeconomics in the Global Economy,Executive MBA,904,1,Open,0/30,Sofia Kotsiri,3,"Sa | 12:30 PM - 3:30 PM | 01/24/2026 - 01/24/2026

Sa | 12:30 PM - 3:30 PM | 02/21/2026 - 02/21/2026

Sa | 2:00 PM - 6:00 PM | 01/10/2026 - 01/10/2026

Sa | 2:00 PM - 6:00 PM | 02/07/2026 - 02/07/2026

Sa | 2:00 PM - 6:00 PM | 03/07/2026 - 03/07/2026

Sa | 9:00 AM - 3:30 PM | 03/21/2026 - 03/21/2026",Rm 107 Lucas Hall,,Lecture,In-Person,2026-01-10,2026-03-21,Winter 2026 Quarter,
EMBA 911-2 - New Business Ventures,Executive MBA,911,2,Open,0/30,Dennis Charlebois,4,"Sa | 9:00 AM - 1:00 PM | 03/07/2026 - 03/07/2026

Sa | 9:00 AM - 3:30 PM | 01/24/2026 - 01/24/2026

Sa | 9:00 AM - 3:30 PM | 02/21/2026 - 02/21/2026

Sa | 9:00 AM - 6:00 PM | 01/10/2026 - 01/10/2026

Sa | 9:00 AM - 6:00 PM | 02/07/2026 - 02/07/2026",Rm 106 Lucas Hall,,Lecture,In-Person,2026-01-10,2026-03-07,Winter 2026 Quarter,
EMBA 915-1 - Strategic Innovation and Corporate Entrepreneurship,Executive MBA,915,1,Open,0/30,Tammy Madsen,4,"F | 2:00 PM - 9:00 PM | 01/09/2026 - 01/09/2026

F | 2:00 PM - 9:00 PM | 02/06/2026 - 02/06/2026

F | 2:00 PM - 9:00 PM | 03/06/2026 - 03/06/2026

F | 5:00 PM - 9:30 PM | 01/23/2026 - 01/23/2026

F | 5:00 PM - 9:30 PM | 02/20/2026 - 02/20/2026

Sa | 9:00 AM - 3:30 PM | 03/21/2026 - 03/21/2026",Rm 106 Lucas Hall,,Lecture,In-Person,2026-01-09,2026-03-21,Winter 2026 Quarter,
