Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
LEAD 2-1 - LEAD Seminar,Lead Scholars Program,2,1,Open,0/15,Georgina Santiago De Robles | Georgina Santiago,2,M | 3:30 PM - 5:15 PM,Rm 103 Alameda hall,LEAD Scholars :: LEAD Classes,Seminar,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
LEAD 2-2 - LEAD Seminar,Lead Scholars Program,2,2,Open,0/15,Diana Contreras-Chavez | Diana Contreras-Chavez,2,M | 3:30 PM - 5:15 PM,Rm 102 Alameda hall,LEAD Scholars :: LEAD Classes,Seminar,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
LEAD 2-3 - LEAD Seminar,Lead Scholars Program,2,3,Open,0/15,Ricardo Cortez,2,T | 3:50 PM - 5:30 PM,Rm 104 Alameda hall,LEAD Scholars :: LEAD Classes,Seminar,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
LEAD 2-4 - LEAD Seminar,Lead Scholars Program,2,4,Open,0/15,Juan Peralta,2,T | 3:50 PM - 5:30 PM,Rm 108 Alameda hall,LEAD Scholars :: LEAD Classes,Seminar,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
LEAD 2-5 - LEAD Seminar,Lead Scholars Program,2,5,Open,0/15,Lori Salazar,2,T | 12:10 PM - 1:50 PM,,LEAD Scholars :: LEAD Classes,Seminar,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
LEAD 2-8 - LEAD Seminar,Lead Scholars Program,2,8,Open,0/15,Victor Lemus,2,W | 3:30 PM - 5:15 PM,Rm 102 Alameda hall,LEAD Scholars :: LEAD Classes,Seminar,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
LEAD 2-9 - LEAD Seminar,Lead Scholars Program,2,9,Open,0/15,Raymond Plaza,2,W | 3:30 PM - 5:15 PM,Rm 103 Alameda hall,LEAD Scholars :: LEAD Classes,Seminar,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
LEAD 2-10 - LEAD Seminar,Lead Scholars Program,2,10,Open,0/15,Kyle Amore,2,Th | 3:50 PM - 5:30 PM,Rm 104 Alameda hall,LEAD Scholars :: LEAD Classes,Seminar,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
LEAD 2-11 - LEAD Seminar,Lead Scholars Program,2,11,Open,0/15,Minh Virasak,2,Th | 3:50 PM - 5:30 PM,Rm 108 Alameda hall,LEAD Scholars :: LEAD Classes,Seminar,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
LEAD 2-12 - LEAD Seminar,Lead Scholars Program,2,12,Open,0/15,Thomas Fields,2,Th | 12:10 PM - 1:50 PM,Rm 122 Edward M. Dowd Art & Art History,LEAD Scholars :: LEAD Classes,Seminar,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
LEAD 2-13 - LEAD Seminar,Lead Scholars Program,2,13,Open,0/15,Natasha Zubair,2,Th | 12:10 PM - 1:50 PM,Rm 108 Alameda hall,LEAD Scholars :: LEAD Classes,Seminar,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
LEAD 2-14 - LEAD Seminar,Lead Scholars Program,2,14,Open,0/15,Vania Tong,2,Th | 2:00 PM - 3:40 PM,Rm 104 Alameda hall,LEAD Scholars :: LEAD Classes,Seminar,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
LEAD 10-1 - Difficult Dialogues (-),Lead Scholars Program,10,1,Open,0/20,Maria Autrey Noriega,4,M W | 5:25 PM - 7:10 PM,Rm 101 Alameda hall,"Core Explorations :: Diversity: US Perspectives

Core Integrations :: Experiential Learning for Social Justice

LEAD Scholars :: LEAD Classes

Pathways :: Race, Place and Social Inequalities",Seminar,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
LEAD 18-1 - Success in Work and Life,Lead Scholars Program,18,1,Open,0/20,,2,Th | 3:50 PM - 5:30 PM,Rm 102 Alameda hall,"LEAD Scholars :: LEAD Classes

Pathways :: Vocation",Seminar,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
LEAD 19-1 - Exploring Vocations in Law,Lead Scholars Program,19,1,Open,0/20,Thiadora Pina,2,Th | 3:50 PM - 5:30 PM,RM 2301 SCDI,"LEAD Scholars :: LEAD Classes

Pathways :: Vocation",Seminar,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
LEAD 100AW-1 - Advanced Difficult Dialogues Seminar (-),Lead Scholars Program,100AW,1,Open,0/25,,5,T Th | 12:10 PM - 1:50 PM,Rm 206 Daly Science 200,"Core Integrations :: Advanced Writing

LEAD Scholars :: LEAD Classes

Pathways :: Vocation",Seminar,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
LEAD 101-1 - Advanced LEAD Seminar,Lead Scholars Program,101,1,Closed,0/0,Shaunte Hill | Shaunte Hill,2,T | 2:00 PM - 3:40 PM,Rm 104 Alameda hall,LEAD Scholars :: LEAD Classes,Seminar,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
