Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
MILS 12-1 - Introduction to the Profession of Arms,Military Science,12,1,Open,0/20,Paulette Ocampo,3,T Th | 8:30 AM - 10:10 AM,Rm 231 Aloysius Varsi Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MILS 12-2 - Introduction to the Profession of Arms,Military Science,12,2,Open,0/24,Paulette Ocampo,3,W | 2:15 PM - 5:00 PM,Rm 231 Aloysius Varsi Hall,,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,MILS 12-/MILS 132-2/MILS 22-2/MILS 142-2
"MILS 22-1 - Army Doctrine, Team Development and Decision Making",Military Science,22,1,Open,0/20,Eduardo Lugo,3,T Th | 8:30 AM - 10:10 AM,Rm 114 Aloysius Varsi Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
"MILS 22-2 - Army Doctrine, Team Development and Decision Making",Military Science,22,2,Open,0/24,Eduardo Lugo,3,W | 2:15 PM - 5:00 PM,Rm 231 Aloysius Varsi Hall,,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,MILS 22-/MILS 12-2/MILS 132-2/MILS 142-2
MILS 132-1 - Applied Leadership in Small Unit Operations,Military Science,132,1,Open,0/20,Daniel Ganoe,4,T Th | 10:20 AM - 12:00 PM,Rm 114 Aloysius Varsi Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MILS 132-2 - Applied Leadership in Small Unit Operations,Military Science,132,2,Open,0/24,Daniel Ganoe,4,W | 2:15 PM - 5:00 PM,Rm 231 Aloysius Varsi Hall,,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,MILS 132-/MILS 12-2/MILS 22-2/MILS 142-2
MILS 142-1 - Company Grade Leadership,Military Science,142,1,Open,0/20,David Von Bargen,4,T Th | 10:20 AM - 12:00 PM,Rm 231 Aloysius Varsi Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MILS 142-2 - Company Grade Leadership,Military Science,142,2,Open,0/24,David Von Bargen,4,W | 2:15 PM - 5:00 PM,Rm 231 Aloysius Varsi Hall,,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,MILS 142-/MILS 12-2/MILS 132-2/MILS 22-2
MILS 176-1 - US Military History,Military Science,176,1,Open,0/24,Eduardo Lugo,3,T Th | 10:20 AM - 12:00 PM,,"Pathways :: American Studies

Pathways :: Leading People, Organizations and Social Change",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
MILS 199-1 - Independent Study,Military Science,199,1,Open,0/10,David Von Bargen,3,T Th | 2:00 PM - 3:40 PM,Rm 231 Aloysius Varsi Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
