Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
PHYS 12-1 - General Physics II,Physics,12,1,Open,0/50,Nathan Williams,5,M W F | 8:00 AM - 9:05 AM,RM 1302 SCDI,Core Explorations :: Natural Science,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
PHYS 12-2 - General Physics II,Physics,12,2,Open,0/40,Nathan Williams,5,M W F | 9:15 AM - 10:20 AM,RM 1302 SCDI,Core Explorations :: Natural Science,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
PHYS 12-3 - General Physics II,Physics,12,3,Open,0/18,Omid Ahmadi-Gorgi,5,T | 8:15 AM - 11:00 AM,RM 2316 SCDI,Core Explorations :: Natural Science,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
PHYS 12-4 - General Physics II,Physics,12,4,Open,0/18,Nathan Williams,5,W | 2:15 PM - 5:00 PM,RM 2316 SCDI,Core Explorations :: Natural Science,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
PHYS 12-5 - General Physics II,Physics,12,5,Open,0/18,Omid Ahmadi-Gorgi,5,Th | 8:15 AM - 11:00 AM,RM 2316 SCDI,Core Explorations :: Natural Science,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
PHYS 12-6 - General Physics II,Physics,12,6,Open,0/18,Omid Ahmadi-Gorgi,5,Th | 11:15 AM - 2:00 PM,RM 2316 SCDI,Core Explorations :: Natural Science,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
PHYS 12-7 - General Physics II,Physics,12,7,Open,0/18,My Phuong Le,5,F | 2:15 PM - 5:00 PM,RM 2316 SCDI,Core Explorations :: Natural Science,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
PHYS 31-1 - Physics for Scientists and Engineers I,Physics,31,1,Open,0/55,Roxana Flacau,5,M W F | 9:15 AM - 10:20 AM,RM 1308 SCDI,Core Explorations :: Natural Science,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
PHYS 31-2 - Physics for Scientists and Engineers I,Physics,31,2,Open,0/55,Kristin Kulas,5,M W F | 10:30 AM - 11:35 AM,RM 1308 SCDI,Core Explorations :: Natural Science,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
PHYS 31-3 - Physics for Scientists and Engineers I,Physics,31,3,Open,0/55,Christopher Ciccarino,5,M W F | 11:45 AM - 12:50 PM,RM 1308 SCDI,Core Explorations :: Natural Science,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
