Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
POLI 1-1 - Introduction to U.S. Politics (-),Political Science,1,1,Open,0/35,Bonnie Cherry,4,T Th | 10:20 AM - 12:00 PM,Rm 163 Graham Hall,"Core Explorations :: Civic Engagement

Pathways :: American Studies

Pathways :: Democracy",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
POLI 1-2 - Introduction to U.S. Politics (-),Political Science,1,2,Open,0/35,Vivien Leung,4,T Th | 8:30 AM - 10:10 AM,Rm 128 Vari Hall,"Core Explorations :: Civic Engagement

Pathways :: American Studies

Pathways :: Democracy",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
POLI 1-3 - Introduction to U.S. Politics (-),Political Science,1,3,Open,0/35,Thomas Meredith,4,M W F | 11:45 AM - 12:50 PM,Rm 310 Lucas Hall,"Core Explorations :: Civic Engagement

Pathways :: American Studies

Pathways :: Democracy",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
POLI 2-1 - Introduction to Comparative Politics,Political Science,2,1,Open,0/35,Jesilyn Faust,4,M W F | 8:00 AM - 9:05 AM,Rm 128 Vari Hall,"Core Explorations :: Cultures and Ideas 3

Core Explorations :: Social Science

Pathways :: Democracy",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
POLI 2-2 - Introduction to Comparative Politics,Political Science,2,2,Open,0/35,Eric Mosinger,4,T Th | 8:30 AM - 10:10 AM,Rm 135 Vari Hall,"Core Explorations :: Cultures and Ideas 3

Core Explorations :: Social Science

Pathways :: Democracy",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
POLI 2-3 - Introduction to Comparative Politics,Political Science,2,3,Open,0/35,Farid Senzai,4,T Th | 12:10 PM - 1:50 PM,RM 1308 SCDI,"Core Explorations :: Cultures and Ideas 3

Core Explorations :: Social Science

Pathways :: Democracy",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
POLI 25-1 - Introduction to International Relations (-),Political Science,25,1,Open,0/40,Gregory Corning | Greg Corning,4,M W F | 9:15 AM - 10:20 AM,Rm 135 Vari Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
POLI 30-1 - Introduction to Political Philosophy (-),Political Science,30,1,Open,0/40,Peter Minowitz,4,M W F | 2:15 PM - 3:20 PM,Rm 133 Vari Hall,"Pathways :: Applied Ethics

Pathways :: Democracy

Pathways :: Law and Social Justice

Pathways :: Politics and Religion",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
POLI 40-1 - Politics of US Economic Policies,Political Science,40,1,Open,0/40,Kenneth Faulve-Montojo,4,M W F | 9:15 AM - 10:20 AM,Rm 111 Kenna Hall,"Core Explorations :: Social Science

Pathways :: Feeding the World

Pathways :: Public Policy",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
POLI 99-1 - Political Science Research,Political Science,99,1,Open,0/40,Jesilyn Faust,4,M W F | 10:30 AM - 11:35 AM,Rm 206 Daly Science 200,Core Explorations :: Social Science,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
