Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
PSYC 1-1 - General Psychology I,Psychology,1,1,Open,0/43,Lisa Whitfield,4,M W F | 10:30 AM - 11:35 AM,Rm 120 Alumni Science Hall,Core Explorations :: Social Science,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
PSYC 1-2 - General Psychology I,Psychology,1,2,Open,0/44,Jennifer Frihauf,4,M W F | 11:45 AM - 12:50 PM,Rm 218 Kenna Hall,Core Explorations :: Social Science,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
PSYC 1-3 - General Psychology I,Psychology,1,3,Open,0/44,Steven Del Chiaro | Steve Del Chiaro,4,T Th | 8:30 AM - 10:10 AM,Rm 120 Alumni Science Hall,Core Explorations :: Social Science,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
PSYC 2-1 - General Psychology II (-),Psychology,2,1,Open,0/45,Thomas Plante,4,T Th | 3:50 PM - 5:30 PM,Rm 103 Alameda hall,Core Explorations :: Social Science,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
PSYC 2-2 - General Psychology II (-),Psychology,2,2,Open,0/45,Barbara O'Brien,4,M W F | 11:45 AM - 12:50 PM,Rm 120 Alumni Science Hall,Core Explorations :: Social Science,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
PSYC 51-1 - Statistics and Methods 1,Psychology,51,1,Open,0/27,Kirsten Read,4,M W F | 11:45 AM - 12:50 PM,Rm 101 Alumni Science Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
PSYC 52-1 - Statistics and Methods 2,Psychology,52,1,Open,0/30,Jui Bhagwat,4,M W F | 9:15 AM - 10:20 AM,Rm 101 Alumni Science Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
PSYC 52-2 - Statistics and Methods 2,Psychology,52,2,Open,0/30,Jui Bhagwat,4,M W F | 1:00 PM - 2:05 PM,Rm 101 Alumni Science Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
PSYC 52-3 - Statistics and Methods 2,Psychology,52,3,Open,0/30,Giselle Laiduc,4,T Th | 12:10 PM - 1:50 PM,Rm 101 Alumni Science Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
PSYC 52-4 - Statistics and Methods 2,Psychology,52,4,Open,0/30,Michelle Rivers,4,T Th | 3:50 PM - 5:30 PM,Rm 101 Alumni Science Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
